P0	P10	P20	P30	P40	P60	P90	P120	fit.cluster
YLR301W	2613	1932	1168	2137	2214	1717	2223	1872	5
YGR253C	914	1045	455	737	2353	1132	1534	872	5
YDR368W	1032	976	822	1089	1732	1156	1414	1569	5
YCR012W	59754	71575	55471	76244	89905	82716	75807	77409	4
YKL152C	24796	32331	30051	36643	40442	33986	37464	38113	2
YNL160W	1677	1025	885	1625	1846	793	1806	629	5
YBR035C	891	1193	666	781	1393	1044	1262	1301	5
YGR254W	67299	65974	48500	74143	109052	90034	91128	78644	4
YHR174W	219779	207634	184593	216965	304130	267333	220562	234131	3
YMR314W	845	904	345	652	1654	1087	1098	1331	5
YOR362C	435	756	0	257	1262	774	401	391	5
YGR135W	660	659	308	535	1327	784	1053	1139	5
YBR111C	0	295	0	301	363	236	215	324	5
YHR163W	731	808	364	489	994	560	1052	923	5
YBR221C	616	906	688	705	1219	722	1473	731	5
YER023W	1781	1507	1755	1672	2032	2256	1947	2617	5
YMR226C	4830	3438	3693	4362	4875	3561	3313	3608	5
YHR008C	2130	2391	808	2483	4317	3245	2521	3388	5
YJR148W	3608	3392	2452	2838	4300	3861	3255	3259	5
YPR103W	0	111	0	0	152	164	64	0	5
YLR231C	748	546	233	778	785	460	742	790	5
YBR026C	222	96	0	0	201	90	113	201	5
YJL167W	4731	3460	4013	3787	4888	3343	4040	3838	5
YHR183W	5654	5743	5342	7107	9284	8745	10363	10993	1
YER178W	1005	744	841	1034	1523	962	1244	986	5
YMR099C	768	605	551	368	1118	658	892	1063	5
YNL079C	552	478	429	384	866	586	752	1385	5
YFR044C	4220	3396	3303	3513	4919	3945	3191	3445	5
YOL038W	569	299	325	585	739	472	662	431	5
YEL047C	1457	1238	1226	1213	1601	1050	1066	1017	5
YOR007C	4190	3838	4203	4671	5063	5979	5696	6546	5
YBR286W	3895	3238	1892	2206	4216	2582	2343	2728	5
YLR303W	3330	2903	2028	3174	5241	4233	4717	5780	5
YER177W	3223	1735	2389	2583	2888	3365	2613	3538	5
YNL071W	1244	1032	1053	1103	1694	1419	1335	1137	5
YOL083W	0	143	152	169	145	0	216	123	5
YCL043C	2565	2477	1679	2560	4068	3646	3764	4556	5
YOR117W	213	85	0	92	138	298	86	327	5
YCR088W	669	650	560	746	813	851	841	660	5
YIL041W	1793	1251	2413	1359	1777	1220	1700	1409	5
YMR186W	457	368	276	123	439	966	437	618	5
YNL208W	538	511	1093	420	863	1963	1604	2559	5
YHR074W	190	143	129	140	344	117	90	171	5
YLR429W	162	220	139	177	305	120	377	413	5
YNL123W	56	37	0	31	63	75	56	42	5
YEL037C	1061	801	566	765	1287	731	1150	704	5
YFL010C	23458	27454	31721	32553	28716	34845	31997	30272	2
YMR276W	478	279	329	243	536	303	226	234	5
YKL157W	325	209	89	216	553	358	337	320	5
YOR027W	1031	1035	997	652	1077	1210	889	1252	5
YJL020C	139	109	156	130	100	185	152	112	5
YFL028C	0	74	0	0	156	84	112	162	5
YJL214W	0	241	0	0	1117	0	606	0	5
YKR066C	181	45	115	192	226	198	311	234	5
YIL062C	0	71	0	0	422	193	74	275	5
YMR105C	88	169	196	559	1336	1049	481	457	5
YFR053C	47	219	234	946	1901	1178	1318	1405	5
YNR001C	247	219	383	416	722	640	433	683	5
YML120C	1107	0	1725	2624	2142	2148	3541	3509	5
YJR125C	61	106	0	0	131	0	0	222	5
YNL098C	240	362	581	676	527	585	416	711	5
YHR037W	104	0	123	106	285	154	190	203	5
YGR130C	16	29	24	48	222	88	153	143	5
YBL063W	0	109	93	223	0	238	315	447	5
YBR136W	21	3	16	11	34	0	16	25	5
