P0	P10	P20	P30	P40	P60	P90	P120	fit.cluster
YDR363W-A	55	413	81	364	256	854	280	356	5
YDR364C	0	0	0	0	0	0	0	0	5
YDR365C	0	0	0	0	13	0	0	0	5
YDR366C	0	0	0	0	0	0	0	0	5
YDR367W	0	0	0	0	0	0	0	0	5
YDR370C	0	0	0	0	160	0	0	0	5
YDR371W	0	0	0	0	0	0	0	0	5
YDR372C	0	0	0	0	155	0	0	0	5
YDR373W	0	0	0	0	0	0	0	0	5
YDR374C	0	0	60	67	0	0	0	0	5
YDR375C	0	0	0	0	0	0	0	0	5
YDR376W	0	0	0	0	0	0	0	0	5
YDR377W	0	0	0	0	0	0	0	0	5
YDR380W	0	0	0	0	0	0	0	0	5
YDR383C	0	0	0	0	0	0	51	0	5
YDR384C	0	0	0	0	0	0	0	0	5
YDR386W	0	0	0	0	0	0	0	0	5
YDR387C	0	0	0	0	0	0	0	0	5
YDR388W	0	0	0	0	0	0	0	0	5
YDR389W	0	0	0	0	0	0	0	54	5
YDR391C	0	0	0	0	0	0	0	0	5
YDR392W	0	0	0	0	0	0	0	0	5
YDR393W	0	0	0	0	0	0	0	0	5
YDR394W	0	0	0	0	0	0	0	0	5
YDR395W	0	0	0	0	0	0	0	0	5
YDR396W	0	0	0	0	0	0	0	0	5
YDR398W	0	0	0	0	0	0	0	0	5
YDR400W	0	0	0	0	0	0	0	0	5
YDR401W	0	0	0	0	0	0	0	0	5
YDR402C	0	0	42	30	0	0	0	0	5
YDR403W	0	0	0	0	0	0	75	0	5
YDR404C	0	0	0	0	0	0	0	0	5
YDR405W	0	0	0	0	0	0	0	26	5
YDR407C	0	0	0	6	0	0	0	0	5
YDR409W	0	0	0	0	97	0	0	0	5
YDR410C	0	0	0	0	0	0	0	0	5
YDR411C	0	0	0	0	0	0	0	0	5
YDR412W	0	0	0	0	0	0	0	0	5
YDR413C	0	0	0	0	0	0	0	0	5
YDR414C	0	0	0	0	0	0	0	0	5
YDR415C	0	0	0	0	0	0	0	0	5
YDR416W	0	0	0	0	0	0	0	0	5
YDR417C	0	0	0	0	0	0	0	0	5
YDR419W	0	0	0	0	0	0	0	0	5
YDR420W	0	0	0	0	0	0	0	0	5
YDR421W	0	0	0	0	0	0	0	0	5
YDR422C	0	0	0	0	0	0	0	0	5
YDR423C	0	0	0	0	0	0	0	0	5
YDR424C	0	0	0	0	0	0	0	0	5
YDR425W	0	0	0	0	0	0	0	0	5
YDR426C	0	0	0	0	0	0	0	0	5
YDR427W	0	0	0	0	0	0	0	0	5
YDR428C	0	0	0	0	0	0	0	235	5
YDR429C	0	0	0	0	0	0	0	0	5
YDR431W	0	0	0	0	0	0	0	0	5
YDR433W	0	0	0	0	0	0	0	0	5
YDR434W	0	0	0	0	0	0	0	0	5
YDR435C	0	0	0	0	0	0	0	0	5
YDR436W	0	0	0	0	0	0	0	0	5
YDR437W	0	0	0	0	0	0	0	0	5
YDR438W	0	0	0	0	0	0	0	0	5
YDR439W	0	0	0	0	0	0	0	0	5
YDR440W	0	0	57	0	0	135	99	0	5
YDR441C	0	0	0	0	0	0	0	0	5
YDR442W	0	0	0	0	0	0	0	0	5
YDR445C	0	0	0	0	0	0	0	0	5
YDR446W	0	0	0	0	0	0	0	0	5
YDR448W	0	0	0	0	0	0	0	0	5
YDR449C	0	0	0	0	0	0	0	0	5
YDR451C	0	0	0	0	0	0	0	0	5
YDR452W	5	0	0	0	0	0	0	0	5
YDR453C	0	0	0	0	0	0	0	44	5
YDR455C	0	0	0	0	0	0	0	0	5
YDR456W	0	0	0	0	0	0	0	0	5
YDR458C	0	0	0	0	0	0	0	0	5
YDR459C	0	0	0	0	0	0	0	0	5
YDR460W	0	0	0	0	0	0	0	0	5
YDR461W	0	0	0	0	0	0	0	0	5
YDR462W	0	0	0	0	0	0	0	0	5
YDR463W	0	0	0	0	0	0	0	0	5
YDR465C	0	0	0	0	0	0	52	0	5
YDR466W	0	0	0	0	0	0	0	0	5
YDR467C	0	0	0	0	0	0	0	0	5
YDR468C	0	0	0	0	0	0	0	0	5
YDR470C	0	0	0	0	0	0	0	0	5
YDR471W	0	0	0	0	0	0	0	0	5
YDR472W	0	0	0	0	0	0	0	0	5
YDR473C	0	0	0	0	0	0	0	0	5
YDR474C	0	0	0	0	0	0	0	0	5
YDR475C	0	0	0	0	0	0	0	19	5
YDR476C	0	0	0	0	0	0	0	0	5
YDR478W	0	0	0	0	0	0	0	0	5
YDR479C	0	0	0	0	0	0	0	0	5
YDR481C	0	0	0	0	0	0	0	0	5
YDR482C	0	0	0	0	0	0	0	0	5
YDR483W	0	0	0	0	0	0	0	0	5
YDR484W	0	0	0	0	0	0	0	0	5
YDR485C	0	0	0	0	0	0	0	0	5
YDR488C	0	0	0	0	0	0	0	0	5
YDR489W	0	0	0	0	0	0	0	0	5
YDR490C	0	0	0	0	0	0	0	0	5
YDR491C	0	0	0	0	0	0	0	0	5
YDR492W	0	0	0	0	0	0	0	0	5
YDR493W	0	0	0	0	0	0	0	0	5
YDR494W	0	0	0	0	0	0	0	0	5
YDR496C	0	0	0	0	0	0	0	0	5
YDR498C	0	0	0	0	0	0	0	0	5
YDR499W	0	0	0	0	0	0	0	0	5
YDR500C	0	0	704	0	0	0	0	0	5
YDR501W	0	0	0	0	0	0	75	0	5
YDR503C	0	0	0	0	0	0	0	0	5
YDR504C	0	0	0	0	0	0	0	0	5
YDR505C	0	0	0	0	0	0	0	0	5
YDR506C	0	0	0	0	0	0	0	0	5
YDR507C	0	0	0	0	0	0	0	4	5
YDR508C	0	83	0	0	0	0	0	0	5
YDR509W	0	0	0	0	0	0	0	0	5
YDR510W	0	0	0	0	0	0	0	0	5
YDR511W	0	0	0	0	0	0	0	0	5
YDR512C	0	0	0	0	0	0	0	0	5
YDR514C	0	0	0	0	0	0	0	0	5
YDR515W	0	0	0	0	0	0	0	0	5
YDR517W	0	0	0	0	0	0	0	0	5
YDR518W	0	0	0	0	0	0	0	0	5
YDR520C	0	0	0	0	0	0	0	0	5
YDR521W	0	0	0	0	0	0	0	0	5
YDR522C	0	0	0	0	0	0	0	0	5
YDR523C	0	0	0	0	0	0	0	0	5
YDR525W	0	0	0	0	0	0	0	0	5
YDR526C	0	0	0	0	0	0	0	0	5
YDR527W	0	0	0	0	0	0	0	0	5
YDR528W	0	0	0	0	0	0	0	0	5
YDR529C	0	0	0	0	0	0	0	0	5
YDR530C	0	0	0	0	0	0	0	0	5
YDR531W	0	0	0	0	0	0	0	0	5
YDR532C	0	0	0	0	0	0	0	0	5
YDR534C	0	0	0	0	0	0	0	0	5
YDR535C	0	0	0	0	0	0	0	0	5
YDR536W	0	0	0	0	0	0	0	0	5
YDR537C	0	0	0	0	0	0	0	0	5
YDR538W	0	0	0	0	0	0	0	0	5
YDR539W	0	0	0	0	0	0	0	0	5
YDR540C	0	0	0	0	0	0	0	0	5
YDR541C	0	0	0	0	0	0	0	0	5
YDR542W	0	0	0	0	0	0	0	0	5
YDR543C	0	0	0	0	0	0	0	0	5
YDR544C	0	0	0	0	0	0	0	0	5
YDR545W	0	0	0	0	0	0	0	0	5
YEL001C	0	0	0	0	0	0	0	0	5
YEL002C	0	0	0	0	0	0	0	0	5
YEL004W	0	0	0	0	0	0	0	0	5
YEL005C	0	0	0	0	0	0	0	0	5
YEL006W	0	0	0	0	0	0	0	0	5
YEL007W	0	0	0	0	0	0	0	0	5
YEL008W	0	0	0	0	0	0	0	0	5
YEL009C	0	0	0	0	0	0	0	0	5
YEL010W	0	0	0	0	0	0	0	0	5
YEL011W	0	0	0	0	0	0	0	0	5
YEL012W	0	0	0	0	0	0	0	0	5
YEL013W	15	0	0	0	0	0	0	0	5
YEL014C	0	0	0	0	0	0	0	0	5
YEL015W	0	0	0	0	0	0	0	0	5
YEL016C	0	0	0	0	0	0	0	0	5
YEL017C-A	0	0	0	0	0	0	0	0	5
YEL017W	0	0	0	0	0	0	81	0	5
YEL018W	0	0	0	0	0	0	0	0	5
YEL019C	0	0	0	0	0	0	0	0	5
YEL020C	0	0	0	0	0	0	0	0	5
YEL020W-A	1905	1510	1897	1325	1855	2670	2274	950	5
YEL021W	0	0	0	0	0	0	0	0	5
YEL022W	0	0	0	47	0	0	0	0	5
YEL023C	0	0	0	0	0	0	0	0	5
YEL024W	0	0	0	0	0	0	0	0	5
YEL027W	0	0	0	0	0	0	0	0	5
YEL028W	0	0	0	0	0	0	0	0	5
YEL030W	0	0	0	6	0	0	0	0	5
YEL033W	0	0	0	0	0	0	0	0	5
YEL035C	0	0	0	0	0	0	0	0	5
YEL036C	0	0	0	0	0	0	0	0	5
YEL038W	0	0	0	0	0	0	0	0	5
YEL039C	0	0	0	0	0	0	0	0	5
YEL040W	0	0	0	0	25	0	0	0	5
YEL041W	0	24	51	127	98	241	182	0	5
YEL042W	0	0	0	0	0	0	0	0	5
YEL044W	0	0	0	0	0	0	0	0	5
YEL045C	0	0	0	0	0	0	0	0	5
YEL048C	0	0	0	0	0	0	0	0	5
YEL049W	0	0	0	0	0	0	0	0	5
YEL050C	0	0	118	0	0	0	0	0	5
YEL051W	0	0	0	0	0	0	0	0	5
YEL052W	0	0	0	0	0	0	0	0	5
YEL053C	0	0	0	0	0	0	0	0	5
YEL054C	0	0	0	0	0	0	0	0	5
YEL056W	0	0	0	0	0	0	0	0	5
YEL057C	0	0	0	0	0	0	0	0	5
YEL058W	0	0	0	0	0	0	0	0	5
YEL059C-A	0	0	0	0	0	0	0	0	5
YEL059W	0	0	0	0	0	0	0	0	5
YEL062W	0	0	0	0	0	0	0	0	5
YEL063C	0	0	0	0	0	0	0	0	5
YEL064C	0	0	0	0	0	0	0	0	5
YEL065W	0	0	0	0	0	0	0	0	5
YEL066W	0	0	0	0	0	0	0	0	5
YEL067C	0	0	0	0	0	0	0	0	5
YEL068C	0	0	0	0	0	0	0	0	5
YEL069C	0	0	0	0	0	0	0	0	5
YEL070W	0	0	0	0	0	0	0	0	5
YEL072W	0	0	0	0	0	0	0	0	5
YEL073C	0	0	0	0	0	0	0	0	5
YEL074W	0	0	0	0	0	0	0	0	5
YEL075C	0	0	0	0	0	0	0	0	5
YEL076C	0	0	0	0	0	0	0	0	5
YEL076C-A	0	0	0	0	0	0	0	0	5
YEL076W-C	0	0	0	0	0	0	0	0	5
YEL077C	0	0	0	0	0	0	0	0	5
YER001W	0	0	0	0	0	0	0	0	5
YER002W	0	0	0	0	0	0	0	0	5
YER004W	0	0	0	0	0	0	0	0	5
YER005W	0	0	0	0	0	0	0	0	5
YER006W	0	0	0	0	0	0	0	0	5
YER007C-A	0	0	0	0	0	0	0	0	5
YER007W	0	0	0	0	0	0	0	0	5
YER008C	0	0	0	0	19	0	0	0	5
YER010C	0	0	0	0	0	0	0	0	5
YER011W	0	0	0	0	0	0	0	0	5
YER012W	0	0	0	0	0	0	0	0	5
YER013W	0	0	0	0	0	0	0	0	5
YER015W	0	0	0	0	0	0	0	0	5
YER016W	0	0	0	0	0	0	0	0	5
YER017C	0	0	0	0	0	0	0	0	5
YER018C	0	0	0	0	0	0	0	0	5
YER019C-A	0	0	0	0	0	0	0	0	5
YER019W	0	0	34	139	0	0	0	0	5
YER020W	0	0	0	0	0	0	0	0	5
YER024W	16	0	0	0	0	0	0	0	5
YER026C	0	0	0	0	0	0	0	0	5
YER027C	0	0	0	0	0	0	0	0	5
YER028C	0	0	0	0	0	0	0	0	5
YER029C	0	0	0	0	91	0	0	0	5
YER031C	0	0	0	0	0	0	0	0	5
YER032W	0	0	0	0	0	0	0	0	5
YER033C	0	0	0	0	0	0	0	0	5
YER034W	0	0	0	0	0	0	0	0	5
YER035W	0	0	0	0	0	0	0	0	5
YER036C	0	0	0	0	0	0	0	0	5
YER037W	0	0	0	0	0	0	0	0	5
YER038C	0	0	0	0	0	0	0	33	5
YER039C	0	0	0	0	0	0	0	0	5
YER040W	0	0	0	0	0	0	0	51	5
YER041W	0	0	0	0	0	0	0	0	5
YER044C	0	0	0	0	0	0	0	0	5
YER044C-A	102	70	34	60	74	0	52	0	5
YER045C	0	0	0	0	0	0	96	0	5
YER046W	0	0	0	0	0	0	0	0	5
YER047C	0	0	0	0	0	0	0	0	5
YER048C	0	0	0	0	0	0	0	0	5
YER049W	0	0	0	0	0	0	0	0	5
YER050C	0	0	0	0	0	0	0	0	5
YER051W	0	0	0	0	0	0	0	0	5
YER052C	0	0	0	0	0	0	0	0	5
YER053C	0	0	0	0	0	0	0	0	5
YER054C	0	0	0	41	0	0	37	0	5
YER056C	0	0	0	0	0	0	0	0	5
YER058W	0	0	0	0	0	0	0	0	5
YER059W	0	0	0	0	0	0	0	0	5
YER060W	0	0	0	0	0	0	0	0	5
YER060W-A	0	0	0	0	0	0	0	0	5
YER061C	0	0	0	0	0	0	0	0	5
YER063W	0	0	0	0	0	0	0	0	5
YER064C	0	0	0	0	0	0	0	0	5
YER065C	0	0	0	0	0	0	0	0	5
YER066C-A	0	0	0	0	0	0	0	0	5
YER066W	0	0	0	0	0	0	0	0	5
YER067W	0	0	0	0	0	0	0	0	5
YER068W	0	0	0	0	0	0	0	0	5
YER071C	0	0	0	0	0	0	0	0	5
YER072W	0	0	0	0	0	409	0	0	5
YER073W	0	0	0	0	0	0	0	0	5
YER075C	0	216	0	91	125	24	94	0	5
YER076C	0	0	0	0	0	0	0	0	5
YER077C	0	0	0	0	0	0	0	0	5
YER078C	0	0	0	0	0	0	0	0	5
YER079W	0	0	0	0	0	0	0	0	5
YER080W	0	0	0	4	0	0	0	0	5
YER081W	0	0	0	0	0	0	0	0	5
YER082C	0	0	0	0	0	0	0	0	5
YER083C	0	0	0	0	0	0	0	0	5
YER084W	0	0	0	0	0	0	0	0	5
YER085C	0	0	0	0	0	0	0	0	5
YER086W	0	0	0	0	0	0	0	0	5
YER087C-A	0	0	0	0	0	0	0	0	5
YER087W	0	0	0	0	0	0	0	0	5
YER088C	0	0	0	0	0	0	0	0	5
YER092W	0	0	0	0	0	0	0	0	5
YER093C-A	0	0	0	0	0	0	0	0	5
YER094C	2872	2410	1997	2986	3088	2129	3064	3095	5
YER095W	0	0	0	0	0	0	0	0	5
YER096W	0	0	0	0	0	0	0	32	5
YER097W	0	0	0	0	0	0	0	0	5
YER098W	0	0	0	0	0	32	0	0	5
YER099C	0	0	0	0	0	0	0	0	5
YER100W	0	0	0	0	0	0	0	0	5
YER101C	0	0	0	0	0	0	0	0	5
YER102W	0	0	0	0	0	0	0	0	5
YER104W	0	0	0	0	0	0	0	0	5
YER106W	0	0	0	0	0	0	0	0	5
YER107C	0	0	0	0	0	0	0	0	5
YER109C	0	0	0	0	0	0	0	0	5
YER110C	0	0	0	0	7	0	0	0	5
YER111C	0	0	0	0	12	0	0	0	5
YER112W	0	0	0	0	0	0	0	0	5
YER113C	0	0	0	0	0	0	0	0	5
YER114C	0	0	0	0	0	0	0	0	5
YER115C	0	0	0	0	0	0	0	0	5
YER116C	0	0	0	0	0	0	0	0	5
YER117W	0	0	0	0	0	0	0	0	5
YER118C	0	0	0	0	0	0	0	0	5
YER119C	0	0	0	0	0	0	0	0	5
YER119C-A	0	0	0	0	0	0	0	0	5
YER121W	0	0	0	0	0	0	0	0	5
YER122C	0	0	0	0	0	0	0	0	5
YER123W	0	0	0	0	0	34	0	0	5
YER124C	0	0	0	0	0	0	0	0	5
YER125W	0	0	0	0	0	0	0	16	5
YER126C	0	0	0	0	0	0	0	0	5
YER127W	0	0	0	0	68	0	0	0	5
YER128W	0	0	0	0	0	0	0	0	5
YER130C	0	0	0	0	0	0	0	0	5
YER134C	0	0	0	0	0	0	0	0	5
YER135C	0	0	0	0	0	0	0	0	5
YER137C	0	0	0	0	0	0	0	0	5
YER138C	0	0	0	0	0	0	0	0	5
YER139C	0	0	0	0	0	0	0	0	5
YER140W	0	0	0	0	0	0	0	0	5
YER141W	0	0	0	0	0	0	0	0	5
YER142C	0	0	0	0	0	0	0	0	5
YER143W	23	0	0	0	0	0	0	0	5
YER144C	0	0	0	0	0	0	0	0	5
YER145C	0	0	0	0	0	0	0	0	5
YER148W	0	0	0	0	0	0	0	0	5
YER149C	0	0	0	0	0	0	0	0	5
YER150W	0	0	0	0	0	0	0	0	5
YER151C	0	0	0	0	0	11	0	0	5
YER152W-A	0	0	59	90	0	0	0	0	5
YER153C	0	0	0	0	0	0	0	0	5
YER154W	0	0	0	0	0	0	0	0	5
YER155C	0	0	14	0	0	0	0	0	5
YER158C	0	0	0	0	0	0	0	0	5
YER160C	0	0	0	0	0	0	0	0	5
YER161C	0	0	0	0	0	0	0	0	5
YER162C	0	0	0	0	0	0	0	0	5
YER163C	0	0	0	0	0	0	0	0	5
YER167W	0	0	0	0	0	0	0	0	5
YER168C	0	0	0	0	0	0	0	0	5
YER169W	0	0	0	0	0	0	0	0	5
YER170W	0	0	0	0	0	0	0	0	5
YER171W	0	0	0	0	0	0	0	0	5
YER173W	0	0	0	0	0	0	0	0	5
YER174C	0	0	0	15	0	0	0	0	5
YER175C	0	0	0	0	0	0	0	0	5
YER179W	0	0	0	0	0	0	0	0	5
YER180C	0	0	0	0	0	0	0	0	5
YER181C	0	0	0	0	0	0	0	0	5
YER182W	0	0	0	0	0	0	119	0	5
YER183C	0	0	0	0	0	0	0	0	5
YER185W	0	0	0	0	0	0	0	0	5
YER186C	0	0	0	0	0	0	0	0	5
YER187W	0	0	0	0	0	0	0	0	5
YER188W	0	0	0	0	0	0	0	0	5
YER189W	0	0	0	0	0	0	0	0	5
YER190W	0	0	0	0	0	0	0	42	5
YFL001W	7	0	0	0	0	0	0	0	5
YFL002C	0	0	0	0	0	0	0	0	5
YFL003C	0	0	0	0	0	0	0	0	5
YFL004W	0	0	0	0	0	0	0	0	5
YFL005W	0	0	0	0	0	0	0	0	5
YFL006W	0	0	0	0	0	0	0	0	5
YFL009W	0	0	0	0	0	0	0	0	5
YFL011W	0	0	0	0	0	0	0	0	5
YFL012W	0	0	0	0	0	0	0	0	5
YFL013W-A	0	0	0	0	0	0	0	0	5
YFL015C	0	0	0	0	0	0	0	0	5
YFL018C	429	291	460	424	450	364	405	580	5
YFL019C	0	0	0	0	0	0	0	0	5
YFL020C	0	0	0	0	0	0	0	0	5
YFL021W	0	0	0	0	0	0	0	0	5
YFL023W	0	0	0	0	0	0	0	0	5
YFL024C	0	0	0	0	0	0	23	0	5
YFL025C	0	0	0	0	0	0	0	0	5
YFL026W	0	0	0	0	0	0	0	0	5
YFL027C	0	0	0	0	0	0	0	0	5
YFL029C	0	0	0	0	0	0	0	0	5
YFL030W	0	0	0	0	0	0	0	0	5
YFL031W	0	0	0	0	0	0	0	0	5
YFL032W	0	0	0	0	0	0	0	0	5
YFL033C	0	0	0	0	0	9	0	0	5
YFL034C-A	937	582	332	343	977	446	912	568	5
YFL034W	0	28	0	0	0	0	0	0	5
YFL036W	0	0	0	0	0	0	0	0	5
YFL037W	0	0	0	0	0	0	0	0	5
YFL038C	0	0	0	0	0	0	225	0	5
YFL040W	86	0	0	0	0	0	178	0	5
YFL041W	0	0	0	0	0	0	0	0	5
YFL042C	0	0	0	0	0	0	0	0	5
YFL043C	0	0	0	0	0	0	0	0	5
YFL044C	0	0	0	0	0	0	0	0	5
YFL046W	0	0	0	0	0	0	0	0	5
YFL047W	0	0	0	0	0	0	0	0	5
YFL048C	0	0	0	12	0	0	0	0	5
YFL049W	0	0	0	0	0	0	0	0	5
YFL050C	0	0	0	0	0	0	0	0	5
YFL051C	0	0	0	0	0	0	0	0	5
YFL052W	0	0	0	0	0	0	0	0	5
YFL053W	0	21	0	0	0	0	0	0	5
YFL054C	0	0	0	0	0	0	0	0	5
YFL055W	0	0	0	0	41	21	0	0	5
YFL056C	0	0	0	0	0	0	0	0	5
YFL057C	0	0	0	0	0	0	0	0	5
YFL058W	0	0	0	0	0	0	0	0	5
YFL059W	0	0	0	0	0	0	0	0	5
YFL060C	0	0	0	0	0	0	0	0	5
YFL061W	0	0	0	0	0	0	0	0	5
YFL062W	0	0	0	0	0	0	0	31	5
YFL063W	0	0	0	0	0	0	0	0	5
YFL064C	0	0	0	0	0	0	0	0	5
YFL065C	0	0	0	0	0	0	0	0	5
YFL066C	0	0	0	0	0	0	0	0	5
YFL067W	0	0	0	0	0	0	0	0	5
YFL068W	0	0	0	0	0	0	0	0	5
YFR001W	0	0	0	0	0	0	0	0	5
YFR003C	0	0	0	0	0	0	381	0	5
YFR004W	0	0	0	0	0	0	93	0	5
YFR005C	0	0	0	0	0	0	0	0	5
YFR007W	0	0	0	0	0	0	0	0	5
YFR008W	0	0	0	0	0	0	0	0	5
YFR009W	0	0	0	0	0	0	0	0	5
YFR010W	0	0	0	0	0	0	0	231	5
YFR011C	0	0	0	0	0	0	0	0	5
YFR012W	0	0	0	0	0	0	0	0	5
YFR013W	0	0	0	0	0	0	0	0	5
YFR014C	0	0	0	0	0	0	0	0	5
YFR017C	0	0	0	0	0	0	0	0	5
YFR018C	0	0	0	0	0	0	0	0	5
YFR020W	0	0	0	0	0	0	0	0	5
YFR021W	0	0	0	0	0	0	0	0	5
YFR022W	0	117	0	0	0	0	0	0	5
YFR023W	0	0	0	0	0	0	0	0	5
YFR024C	0	0	0	0	0	0	0	0	5
YFR024C-A	0	0	41	34	38	89	83	96	5
YFR025C	0	0	0	0	0	0	0	0	5
YFR026C	0	0	0	0	0	0	0	0	5
YFR027W	0	0	0	0	0	0	0	0	5
YFR028C	0	0	0	0	0	0	0	0	5
YFR029W	0	0	0	16	0	0	0	0	5
YFR030W	0	0	0	0	0	0	0	0	5
YFR031C	8	0	0	0	0	0	0	0	5
YFR031C-A	18507	16108	17578	14451	20930	11302	16983	13177	1
YFR032C	0	0	0	0	0	0	0	0	5
YFR033C	0	0	0	0	0	0	0	0	5
YFR034C	0	0	0	0	0	0	213	0	5
YFR035C	0	0	0	0	0	0	0	0	5
YFR036W	0	0	0	0	0	0	0	0	5
YFR037C	0	0	0	0	0	0	0	0	5
YFR039C	0	0	0	0	0	0	0	0	5
YFR041C	0	0	0	0	0	0	0	0	5
YFR042W	0	0	0	0	0	0	0	0	5
YFR043C	0	0	0	0	0	0	0	0	5
YFR045W	0	0	0	0	0	0	0	0	5
YFR046C	0	0	0	0	0	0	0	0	5
YFR047C	0	0	0	0	0	0	0	0	5
YFR048W	0	0	0	0	87	0	0	0	5
YFR051C	0	0	0	0	0	0	0	0	5
YFR054C	0	0	0	0	0	0	0	0	5
YFR055W	0	0	0	0	0	0	0	0	5
YFR056C	0	0	0	0	0	0	0	0	5
YFR057W	0	0	0	0	0	0	0	0	5
YGL001C	0	0	0	0	0	0	0	0	5
YGL002W	0	0	0	0	0	0	0	0	5
YGL003C	0	0	0	0	0	0	0	0	5
YGL004C	0	0	0	0	0	0	0	0	5
YGL005C	0	0	0	0	0	0	0	0	5
YGL007W	0	0	0	0	0	0	0	0	5
YGL009C	0	0	0	0	0	0	0	36	5
YGL010W	0	0	0	0	0	0	0	0	5
YGL012W	0	0	0	0	0	0	0	0	5
YGL013C	0	0	0	0	0	0	0	30	5
YGL015C	0	0	0	0	0	0	0	0	5
YGL016W	0	0	0	0	0	0	0	0	5
YGL017W	0	0	0	0	0	0	0	14	5
YGL018C	0	0	0	0	0	0	0	0	5
YGL019W	0	0	0	0	0	0	0	0	5
YGL020C	0	0	0	0	0	0	0	0	5
YGL021W	0	0	0	0	0	0	0	0	5
YGL022W	0	0	0	0	0	0	0	0	5
YGL023C	0	0	31	0	0	0	0	0	5
YGL024W	0	0	0	0	0	0	0	0	5
YGL025C	0	0	0	0	0	0	0	0	5
YGL028C	0	0	0	0	0	0	0	0	5
YGL029W	0	0	0	0	0	0	0	0	5
YGL031C	27983	25133	29547	29633	37945	20286	29805	23627	2
YGL032C	0	0	0	0	0	0	0	0	5
YGL033W	0	0	0	0	0	0	0	0	5
YGL034C	0	0	0	0	0	0	0	0	5
YGL036W	0	0	0	0	0	0	80	0	5
YGL038C	0	0	0	0	0	0	0	0	5
YGL039W	0	0	0	147	23	35	0	0	5
YGL041C	0	0	0	0	0	0	0	0	5
YGL042C	0	0	0	0	0	0	0	0	5
YGL044C	0	0	0	0	0	0	0	0	5
YGL045W	0	0	0	0	0	0	0	0	5
YGL046W	0	0	0	0	0	0	0	0	5
YGL047W	0	0	0	0	0	0	0	0	5
YGL048C	0	0	0	0	0	0	0	0	5
YGL049C	0	0	0	0	0	0	15	0	5
YGL050W	0	0	0	0	0	0	0	0	5
YGL051W	0	0	0	0	0	0	0	0	5
YGL052W	0	0	0	0	0	0	0	0	5
YGL053W	0	0	0	0	0	0	0	0	5
YGL054C	0	0	0	0	0	0	0	0	5
YGL055W	0	0	0	0	0	19	0	0	5
YGL056C	0	0	0	0	0	0	0	0	5
YGL057C	0	0	0	0	0	0	0	0	5
YGL059W	0	0	0	0	0	0	0	0	5
YGL060W	0	0	0	0	0	0	0	0	5
YGL061C	0	0	0	0	0	0	0	0	5
YGL063W	0	0	0	0	0	0	0	0	5
YGL064C	0	0	0	0	0	0	0	0	5
YGL065C	0	0	0	0	0	0	0	0	5
YGL066W	0	0	0	0	0	0	0	0	5
YGL069C	0	0	0	0	0	0	0	0	5
YGL070C	0	0	0	0	0	52	0	0	5
YGL071W	0	0	0	0	0	0	0	0	5
YGL072C	0	0	0	0	0	0	0	0	5
YGL073W	0	0	0	0	0	0	0	0	5
YGL074C	0	0	0	0	0	0	0	0	5
YGL075C	0	0	0	0	0	0	0	0	5
YGL077C	0	0	0	0	0	0	0	0	5
YGL078C	0	0	0	0	0	0	0	0	5
YGL079W	0	0	0	0	0	0	0	0	5
YGL080W	0	0	0	0	0	0	0	0	5
YGL081W	0	0	0	0	0	0	0	0	5
YGL082W	0	0	0	0	0	0	0	0	5
YGL083W	0	0	0	0	0	0	0	0	5
YGL084C	0	0	0	0	0	0	0	0	5
YGL085W	0	0	0	0	0	0	0	0	5
YGL086W	0	0	0	0	0	0	0	0	5
YGL088W	0	0	0	0	0	0	0	0	5
YGL089C	0	0	0	0	0	0	0	0	5
YGL090W	0	0	0	0	0	0	0	0	5
YGL091C	0	0	0	0	0	0	0	0	5
YGL094C	0	0	0	0	0	0	0	0	5
YGL095C	0	0	0	0	0	0	0	0	5
YGL096W	0	0	0	0	0	0	0	0	5
YGL097W	0	0	0	0	0	0	0	0	5
YGL098W	0	0	0	0	0	0	0	0	5
YGL100W	0	0	0	0	0	0	0	0	5
YGL101W	0	0	0	0	0	0	0	0	5
YGL102C	0	0	0	0	0	0	0	0	5
YGL104C	0	0	0	0	0	0	0	0	5
YGL107C	0	0	16	0	0	0	0	0	5
YGL108C	0	0	0	0	0	0	0	0	5
YGL109W	0	0	0	0	0	0	0	0	5
YGL110C	0	0	0	0	0	0	0	0	5
YGL112C	0	0	0	0	0	0	0	0	5
YGL113W	0	0	0	0	0	0	0	0	5
YGL114W	0	0	0	0	0	0	0	0	5
YGL115W	0	0	0	0	0	0	0	0	5
YGL116W	0	0	0	0	0	0	91	0	5
YGL117W	0	0	0	0	0	0	0	0	5
YGL118C	0	0	0	0	0	0	0	0	5
YGL119W	75	0	0	0	0	0	0	0	5
YGL120C	0	0	0	0	0	0	0	0	5
YGL121C	0	0	0	0	0	0	0	0	5
YGL124C	0	0	0	0	0	0	0	0	5
YGL125W	0	0	0	0	0	0	0	0	5
YGL126W	138	0	0	0	0	0	0	0	5
YGL127C	0	0	0	0	0	0	0	0	5
YGL128C	0	0	0	0	0	0	0	0	5
YGL129C	0	0	0	0	0	0	0	0	5
YGL130W	0	0	0	0	0	0	0	0	5
YGL131C	0	0	0	0	0	0	0	0	5
YGL132W	0	0	0	0	0	0	0	0	5
YGL134W	0	0	0	0	0	0	0	0	5
YGL135W	19162	20261	19051	20122	23439	16233	20017	18395	2
YGL136C	0	0	0	0	0	0	0	0	5
