"diam$X"	"R0"	"R10"	"R20"	"R30"	"R40"	"R60"	"R90"
"3026"	"YGR126W"	0.41	0.26	0.25	0.34	0.3	0.48	0.32
"3027"	"YGR127W"	0.62	1.08	1.6	1.34	1.51	1.07	0.74
"3028"	"YGR128C"	2.05	0.66	0.43	0.43	0.74	1.37	1.6
"3029"	"YGR129W"	0.9	0.58	0.66	0.69	0.58	0.68	0.91
"3030"	"YGR131W"	0.6	0.53	0.79	0.94	0.47	0.72	0.67
"3031"	"YGR132C"	2.12	4.6	5.55	5.99	5.25	4.23	2.64
"3032"	"YGR133W"	0.96	1.03	1.13	1.11	0.85	1.44	1.29
"3033"	"YGR134W"	0.57	0.5	0.41	0.42	0.48	0.44	0.58
"3034"	"YGR137W"	2.36	4.46	5.05	4.16	3.86	4.98	3.29
"3035"	"YGR138C"	0.93	0.49	0.34	0.47	0.49	5.01	0.81
"3036"	"YGR139W"	0	0	0	0	0	0	0
"3037"	"YGR141W"	0.69	1.05	1.08	1.11	0.81	0.73	0.81
"3038"	"YGR142W"	1.99	23.8	23.15	11.18	13.57	9.67	12.4
"3039"	"YGR143W"	1.05	1.08	1.42	1.62	1.38	1.5	0.9
"3040"	"YGR144W"	0.53	0.41	0.46	0.58	0.57	0.7	0.73
"3041"	"YGR145W"	1.58	0.29	0.17	0.25	0.32	0.71	1.04
"3042"	"YGR146C"	1.2	1.15	1.2	1.64	2.39	1.94	2.62
"3043"	"YGR147C"	1.24	1.43	1.42	1.38	1.3	1.85	1.47
"3044"	"YGR149W"	1.54	2.14	2.5	3.01	2.62	2.41	1.75
"3045"	"YGR150C"	0.78	0.78	0.82	0.71	0.64	0.58	0.61
"3046"	"YGR151C"	2.44	2.21	1.96	1.76	2.15	2.56	2.34
"3047"	"YGR152C"	1.48	1.14	0.96	0.8	1.17	1.65	1.61
"3048"	"YGR153W"	0.35	0.4	0.43	0.51	0.3	0.5	0.49
"3049"	"YGR154C"	0.45	0.61	0.68	0.72	0.72	0.58	0.46
"3050"	"YGR156W"	0.53	0.64	0.57	0.59	0.69	0.64	0.58
"3051"	"YGR157W"	3.44	4.54	5.21	4.73	4.86	3.53	3.46
"3052"	"YGR158C"	1.57	1.07	0.79	0.82	1.01	1.28	1.37
"3053"	"YGR160W"	6.44	1.68	0.77	1.03	1.54	5.23	5.53
"3054"	"YGR161C"	0.71	1.99	2.22	2.48	1.55	2.98	3.04
"3055"	"YGR162W"	3.72	1.8	1.33	1.3	1.83	2.42	2.34
"3056"	"YGR164W"	0	0	0	0	0	0	0
"3057"	"YGR165W"	1.02	1.8	1.84	1.79	1.39	1.21	0.99
"3058"	"YGR166W"	0.82	0.65	0.62	0.6	0.77	0.86	0.7
"3059"	"YGR168C"	1.11	1.12	1.04	1.06	1.22	1.27	1.41
"3060"	"YGR169C"	0.54	0.7	0.57	0.6	0.54	0.54	0.57
"3061"	"YGR172C"	1.74	1.82	1.41	1.48	1.62	2.23	1.83
"3062"	"YGR173W"	1.86	1.36	0.87	0.93	1.21	1.47	2.11
"3063"	"YGR174C"	1.25	2.86	4.05	4.43	3.2	1.44	1.16
"3064"	"YGR175C"	7.83	4.79	3.46	4.79	6.96	9.78	10.05
"3065"	"YGR176W"	0	0	0	0	0	0	0
"3066"	"YGR177C"	0.98	0.73	0.35	0.28	0.35	0.31	0.5
"3067"	"YGR178C"	2.17	2.28	2.28	2.68	2.48	1.65	2.22
"3068"	"YGR179C"	0.51	0.52	0.52	0.46	0.48	0.28	0.53
"3069"	"YGR182C"	3.12	6.78	4.29	3.71	3.61	2.97	3.39
"3070"	"YGR183C"	5.25	10.79	7.37	6.07	5.86	3.98	5
"3071"	"YGR186W"	3	2.67	2.58	2.44	2.67	2.11	2.34
"3072"	"YGR188C"	0	0	0	0	0	0	0
"3073"	"YGR189C"	3.21	2.4	2.32	3.44	6.12	12.23	9.14
"3074"	"YGR190C"	0	0	0	0	0	0	0
"3075"	"YGR191W"	3.13	1.79	1.32	1.75	1.97	3.4	2.94
"3076"	"YGR192C"	0	0	0	0	0	0	0
"3077"	"YGR194C"	0.64	1.94	2.45	2.06	1.7	0.73	0.71
"3078"	"YGR195W"	2.2	2.05	1.69	1.63	1.67	2.02	2.16
"3079"	"YGR196C"	0.58	0.52	0.54	0.47	0.64	0.43	0.6
"3080"	"YGR197C"	0.85	1.1	1.06	1.02	1.11	1.1	1.06
"3081"	"YGR198W"	0.94	0.74	0.68	0.58	0.75	0.9	0.88
"3082"	"YGR200C"	2.18	0.82	0.52	0.57	0.82	1.33	1.74
"3083"	"YGR201C"	0.62	0.75	1.07	1.57	1.79	1.45	0.97
"3084"	"YGR202C"	0.72	0.86	0.87	0.8	0.84	0.96	0.8
"3085"	"YGR203W"	0.99	1.09	1.12	1.07	1.24	1.19	1.05
"3086"	"YGR205W"	0.46	0.86	1.26	1.12	0.79	0.34	0.35
"3087"	"YGR206W"	1.13	1.81	1.97	1.53	1.77	1.47	1.16
"3088"	"YGR207C"	1.22	1.82	2.24	2.12	2.22	1.72	1.52
"3089"	"YGR208W"	2.19	1.98	1.73	1.84	1.93	2.1	2.17
"3090"	"YGR210C"	2.76	3.19	2.35	1.84	2.02	2.76	3.28
"3091"	"YGR211W"	2.04	2.59	1.64	0.98	1.33	2.59	2.87
"3092"	"YGR212W"	0.61	0.66	0.81	0.79	0.92	0.79	0.81
"3093"	"YGR213C"	0	0	0	0	0	0	0
"3094"	"YGR215W"	1.36	1.71	2.03	2.11	2.15	1.69	1.46
"3095"	"YGR216C"	0.86	0.64	0.59	0.64	0.8	0.75	0.8
"3096"	"YGR217W"	1.34	1.28	1.1	1.12	1.02	1.06	0.86
"3097"	"YGR218W"	1.52	1.15	1.38	1.25	1.57	1.35	1.46
"3098"	"YGR219W"	1.31	1.91	2.6	2.13	2	1.6	1.13
"3099"	"YGR220C"	1.85	3.26	3.52	3.06	2.9	2.29	1.77
"3100"	"YGR221C"	0	0	0	0	0	0	0
"3101"	"YGR222W"	1.16	1.93	2.01	1.84	2.13	1.7	1.46
"3102"	"YGR223C"	0.86	1.99	2.52	2.06	2.18	1.56	1.4
"3103"	"YGR224W"	0	0	0	0	0	0	0
"3104"	"YGR225W"	0	0	0	0	0	0	0
"3105"	"YGR226C"	0	0	0	0	0	0	0
"3106"	"YGR227W"	0.72	0.64	0.69	0.7	0.67	0.61	0.68
"3107"	"YGR228W"	3.31	2.65	2.12	1.98	2.54	2.82	2.65
"3108"	"YGR229C"	3.28	2.4	2.23	2.11	2.49	3.09	2.98
"3109"	"YGR230W"	1.09	2.36	1.93	2.05	1.86	1.09	1.06
"3110"	"YGR231C"	2.39	5.27	6.72	8.33	7.21	5.46	3.34
"3111"	"YGR233C"	1.15	0.82	0.84	0.85	1.15	0.9	0.69
"3112"	"YGR235C"	2.63	3.49	2.52	2.68	1.78	2.38	2.25
"3113"	"YGR236C"	0	0	0	0	0	0	0
"3114"	"YGR237C"	1.15	1.6	2.4	1.78	1.83	1.13	1.14
"3115"	"YGR238C"	0.57	0.64	0.67	0.72	0.58	0.35	0
"3116"	"YGR239C"	0.36	0.33	0.28	0.32	0.3	0.5	0.51
"3117"	"YGR241C"	0.87	1.22	1.53	1.3	1.06	0.66	0.7
"3118"	"YGR242W"	0	0	0	0	0	0	0
"3119"	"YGR243W"	0	0	0	0	0	0	0
"3120"	"YGR245C"	0	0	0	0	0	0	0
"3121"	"YGR247W"	1.2	1.43	1.41	1.19	1.05	1.15	0.88
"3122"	"YGR248W"	0.58	5.83	14.46	14.56	10.88	2.4	1.02
"3123"	"YGR249W"	0	0	0	0	0	0	0
"3124"	"YGR251W"	1.61	0.71	0	0.43	0.74	1.16	1.19
"3125"	"YGR252W"	1.72	2.03	1.64	1.55	1.98	1.61	1.81
"3126"	"YGR255C"	1.07	1.93	2.68	3.18	2.36	2.75	1.84
"3127"	"YGR256W"	0.7	2.76	3.99	4.71	5.12	3.72	2.78
"3128"	"YGR258C"	0.68	0.87	0.96	1.11	1.3	1.14	0.85
"3129"	"YGR259C"	0	0	0	0	0	0	0
"3130"	"YGR260W"	1.93	1.98	1.71	1.85	1.77	1.93	1.75
"3131"	"YGR261C"	1.55	1.37	1.43	1.35	1.45	1.38	1.55
"3132"	"YGR262C"	0.96	0.98	0.71	0.7	0.79	1.01	0.96
"3133"	"YGR263C"	0.76	0.82	0.82	0.93	0.92	1.14	1.03
"3134"	"YGR265W"	0	0	0	0	0	0	0
"3135"	"YGR266W"	1.18	1.51	1.86	1.72	2.12	1.02	1.49
"3136"	"YGR268C"	0.63	1.05	1.3	1.33	1.46	1.46	1.05
"3137"	"YGR269W"	0.84	0.86	0.97	0.94	0.76	0.77	0.78
"3138"	"YGR270W"	1.35	1.34	1.53	1.22	1.44	0.99	0.96
"3139"	"YGR273C"	0	0	0	0	0	0	0
"3140"	"YGR274C"	0.88	0.69	0.72	0.68	0.7	0.8	0.49
"3141"	"YGR275W"	1.47	1.62	1.53	1.25	1.44	1.62	1.74
"3142"	"YGR277C"	1.19	1.8	1.87	1.83	1.93	1.9	1.71
"3143"	"YGR278W"	0.4	0.35	0.33	0.4	0.38	0.36	0.3
"3144"	"YGR280C"	3.86	0.77	0.54	0.7	0.89	1.85	2.79
"3145"	"YGR281W"	1.24	2.4	2.55	2.91	2.41	1.68	1.38
"3146"	"YGR283C"	1.46	0.63	0.44	0.53	0.73	1.21	1.53
"3147"	"YGR284C"	3.02	4.88	5.26	6.66	7.19	9.69	8.43
"3148"	"YGR286C"	1.23	1.32	1.02	0.96	1.09	1.41	0.99
"3149"	"YGR287C"	0.29	0.6	0.5	0.47	0.35	0.27	0.26
"3150"	"YGR288W"	0.48	0.56	0.56	0.61	0.58	0.45	0.49
"3151"	"YGR289C"	0	0	0	0	0	0	0
"3152"	"YGR290W"	0	0	0	0	0	0	0
"3153"	"YGR291C"	0	0	0	0	0	0	0
"3154"	"YGR292W"	0	0	0	0	0	0	0
"3155"	"YGR293C"	0	0	0	0	0	0	0
"3156"	"YGR294W"	1.68	1.57	1.41	1.48	1.75	2.3	2.36
"3157"	"YGR295C"	2.7	4.03	3.81	3.63	3.58	4.03	3.27
"3158"	"YGR296W"	3.28	3.04	3.04	3.1	3.35	2.56	2.26
"3159"	"YHL002W"	1.09	1.28	1.29	1.11	1.25	1.11	1.19
"3160"	"YHL003C"	2.89	3.1	3.14	2.55	2.77	1.99	2.66
"3161"	"YHL005C"	0	0	0	0	0	0	0
"3162"	"YHL006C"	0.43	0.47	0.48	0.49	0.62	0.57	0.48
"3163"	"YHL007C"	0.95	0.69	0.69	0.71	0.92	0.92	1.15
"3164"	"YHL009C"	0.63	0.63	0.74	0.72	0.75	0.74	0.67
"3165"	"YHL009W-B"	0	0	0	0	0	0	0
"3166"	"YHL010C"	0.53	0.76	1	0.75	0.91	0.55	0.7
"3167"	"YHL011C"	2.86	1.84	0.97	1.06	1.75	3.09	3.29
"3168"	"YHL012W"	0.62	0	0.16	0.25	0.2	0.51	0.38
"3169"	"YHL013C"	1.33	0.76	0.61	0.74	0.82	1.11	1.3
"3170"	"YHL014C"	0.5	0.48	0.43	0.38	0.4	0.44	0.48
"3171"	"YHL016C"	0.26	0.18	0.21	0.25	0.29	0.25	0.29
"3172"	"YHL017W"	1.2	1.23	1.17	1.25	1.17	1.26	1.25
"3173"	"YHL018W"	0	0	0	0	0	0	0
"3174"	"YHL019C"	0.42	0.62	0.68	0.61	0.65	0.44	0.55
"3175"	"YHL020C"	1.05	1.02	1.17	1.05	1.24	1.02	1.12
"3176"	"YHL022C"	0.78	0.81	0.67	0.7	0.8	0	0.4
"3177"	"YHL023C"	0.7	0.62	0.75	0.72	0.78	0.62	0.7
"3178"	"YHL024W"	0	0	0	0	0	0	0
"3179"	"YHL025W"	1.14	1.3	1.36	1.12	1.02	1.45	1.23
"3180"	"YHL026C"	0.74	0.42	0.39	0.48	0.53	0.59	0.55
"3181"	"YHL027W"	1.03	0.95	1.12	1.26	1.3	1.44	1.32
"3182"	"YHL028W"	0	0	0	0	0	0	0
"3183"	"YHL029C"	0.93	0.55	0.53	0.65	0.68	0.74	0.73
"3184"	"YHL031C"	1.09	2.01	2.55	1.94	1.35	1.39	1.2
"3185"	"YHL032C"	0.43	0.58	0.74	0.69	0.73	0.49	0.45
"3186"	"YHL035C"	2.16	2.22	2.4	2.22	2.09	2.21	1.91
"3187"	"YHL036W"	0.43	0.84	0.92	0.83	0.82	0.43	0.37
"3188"	"YHL037C"	0	0	0	0	0	0	0
"3189"	"YHL038C"	0.59	0.57	0.62	0.63	0.69	0.67	0.61
"3190"	"YHL039W"	1.27	0.61	0.41	0.46	0.6	0.9	0.93
"3191"	"YHL040C"	1.18	1.16	0.89	0.99	1.37	2.22	2.16
"3192"	"YHL041W"	0	0	0	0	0	0	0
"3193"	"YHL042W"	0.58	0.52	0	0.59	0.6	0.62	0.5
"3194"	"YHL043W"	0	0	0	0	0	0	0
"3195"	"YHL044W"	0.59	0.84	0.81	0.75	0.83	0.69	0.58
"3196"	"YHL045W"	0	0	0	0	0	0	0
"3197"	"YHL046C"	0.64	0.56	0.54	0.55	0.71	0.79	0.8
"3198"	"YHL047C"	0.84	0.55	0.5	0.67	0.67	1.05	0.91
"3199"	"YHL048W"	0.72	0.9	0.94	0.93	0.92	1.05	0.92
"3200"	"YHL049C"	0.71	0.49	0.55	0.64	0.55	0.53	0.61
"3201"	"YHL050C"	2.31	2.05	2.16	2.25	2.38	1.78	2.05
"3202"	"YHR001W"	1.01	1.36	1.46	1.28	1.01	1.06	1.27
"3203"	"YHR001W-A"	2.03	5.39	3.41	1.88	2.61	2.12	2.03
"3204"	"YHR002W"	0.52	0.62	0.6	0.63	0.6	0.52	0.49
"3205"	"YHR003C"	1	0.9	0.8	0.79	0.74	0.88	0.96
"3206"	"YHR004C"	0.63	0.8	0.73	0.83	0.9	0.63	0.82
"3207"	"YHR005C"	1.76	1.3	1.43	1.41	1.39	1.17	1.41
"3208"	"YHR006W"	0.4	0.39	0.39	0.49	0.44	0.44	0.38
"3209"	"YHR007C"	11.38	8.57	6.23	6.4	8.51	10.69	9.84
"3210"	"YHR011W"	0.33	0.49	0.54	0.4	0.4	0.31	0.3
"3211"	"YHR012W"	1.59	2.6	2.6	2.71	2.32	2.39	2.01
"3212"	"YHR014W"	0	0	0	0	0	0	0
"3213"	"YHR015W"	0.88	0.78	0.77	0.82	0.68	0.69	0.79
"3214"	"YHR016C"	0.72	1.84	2.51	2.71	2.51	1.13	0.92
"3215"	"YHR017W"	0.79	1.37	1.44	1.3	1.21	1.06	1.04
"3216"	"YHR021W-A"	0	0	0	0	0	0	0
"3217"	"YHR022C"	0.68	0.56	0.53	0.71	0.7	0.53	0.6
"3218"	"YHR024C"	1.05	1.24	1.36	1.5	1.4	1.38	0.95
"3219"	"YHR026W"	9.05	10.98	8.15	8.62	8.33	9.24	8.62
"3220"	"YHR027C"	3.06	3.52	4.42	4.39	4.94	4.57	3.59
"3221"	"YHR030C"	0.97	1.26	1.41	1.62	2.04	4.34	2.23
"3222"	"YHR031C"	0.66	0.35	0.34	0.38	0.36	0.45	0.69
"3223"	"YHR032W"	0.93	0.61	0.57	0.66	0.65	0.91	0.81
"3224"	"YHR033W"	0.57	0.77	0.69	0.81	0.83	0.51	0.42
"3225"	"YHR035W"	0.37	0.33	0.34	0.34	0.37	0.35	0.37
"3226"	"YHR036W"	0.72	0.55	0.56	0.53	0.53	0.51	0.54
"3227"	"YHR038W"	0.94	1.14	1.07	1.16	1.17	0.98	0.93
"3228"	"YHR039C"	1.42	1.13	1.1	1.2	1.33	1.31	1.24
"3229"	"YHR039C-A"	0	0	0	0	0	0	0
"3230"	"YHR040W"	1.14	0.52	0.64	0.73	0.52	0.98	1.11
"3231"	"YHR041C"	1.97	1.89	1.74	1.86	1.69	1.81	1.61
"3232"	"YHR044C"	0.41	0.8	0.62	1.31	0.96	1.15	0.88
"3233"	"YHR045W"	2.45	1.99	1.92	1.98	2.16	2.4	2.18
"3234"	"YHR046C"	0.88	0.51	0.41	0.57	0.69	1.22	1.03
"3235"	"YHR048W"	0.25	0.28	0.24	0.27	0.24	0.24	0.26
"3236"	"YHR049C-A"	0	0	0	0	0	0	0
"3237"	"YHR050W"	0.71	0.95	1.03	0.95	1.02	0.76	0.93
"3238"	"YHR052W"	2.51	1.08	0.65	0.83	0.98	1.93	2.01
"3239"	"YHR053C"	24.81	50.66	31.84	23.31	26.96	70.66	59.42
"3240"	"YHR054C"	0.47	0.5	0.48	0.49	0.69	0.66	0.84
"3241"	"YHR055C"	25.62	51.59	32.2	23.57	29.02	73.97	59.26
"3242"	"YHR056C"	0.94	0.93	0.9	0.88	1.07	0.91	1.16
"3243"	"YHR057C"	1.9	3.43	4.34	5.01	4.55	3.67	2.53
"3244"	"YHR058C"	0.71	0.72	0.74	0.93	0.69	0.77	0.85
"3245"	"YHR059W"	1.03	1.71	1.67	1.61	1.85	1.39	0.82
"3246"	"YHR060W"	1.58	1.61	1.64	1.65	1.59	1.61	1.81
"3247"	"YHR061C"	0.71	0.55	0.48	0.5	0.63	0.53	0.73
"3248"	"YHR062C"	0.94	0.54	0.4	0.57	0.63	1.02	1.15
"3249"	"YHR065C"	1.62	0.7	0.45	0.49	0.81	1.17	1.52
"3250"	"YHR067W"	0.46	0.47	0.5	0.51	0.7	0.57	0.58
"3251"	"YHR071W"	1.84	2.33	2.88	3.07	3.73	2.71	2.75
"3252"	"YHR072W"	1.27	0.72	0.58	0.77	1.03	1.41	1.58
"3253"	"YHR073W"	0.89	0.8	0.76	0.82	0.96	0.96	0.92
"3254"	"YHR075C"	0.44	0.47	0.53	0.52	0.6	0.65	0.58
"3255"	"YHR076W"	1.05	1.22	1.29	1.23	1.43	1.14	1.24
"3256"	"YHR077C"	0.75	0.49	0.63	0.49	0.58	0.49	0.68
"3257"	"YHR078W"	1.09	0.91	1.03	1.01	0.99	1.02	1.06
"3258"	"YHR079C"	0	0	0	0	0	0	0
"3259"	"YHR080C"	0.77	1.1	1.3	1.52	1.4	0.49	0.78
"3260"	"YHR081W"	2.01	0.89	0.54	0.73	0.66	1.25	1.59
"3261"	"YHR082C"	1.63	2.06	2.23	1.68	2.02	1.52	2.18
"3262"	"YHR083W"	2.05	2.92	2.87	2.94	2.86	3.04	2.27
"3263"	"YHR084W"	1.51	0.72	0.82	1	1.27	1.16	1.48
"3264"	"YHR085W"	1.18	0.75	0.72	0.63	0.6	0.92	0.85
"3265"	"YHR086W"	0.8	0.78	0.78	0.85	0.87	0.72	0.83
"3266"	"YHR087W"	1.28	19.92	33.97	13.23	13.61	9.69	3.99
"3267"	"YHR088W"	1.81	0.43	0.2	0.27	0.42	1.35	1.57
"3268"	"YHR089C"	10.17	6.39	2.74	1.93	2.84	6.09	6
"3269"	"YHR090C"	0.72	0.61	0.63	0.65	0.7	0.63	0.69
"3270"	"YHR091C"	0.67	0.91	0.98	1.02	0.96	0.88	0.63
"3271"	"YHR092C"	2.38	5.42	3.29	4.16	2.48	1.76	1.55
"3272"	"YHR093W"	0	0	0	0	0	0	0
"3273"	"YHR094C"	5.03	4.12	3.69	4.54	3.63	4.12	3.69
"3274"	"YHR095W"	0	0	0	0	0	0	0
"3275"	"YHR096C"	0	0	0	0	0	0	0
"3276"	"YHR097C"	0.95	2.89	4.2	3.53	2.27	1.95	1.72
"3277"	"YHR098C"	1.56	1.07	1.18	1.4	1.56	1.62	1.77
"3278"	"YHR100C"	0.76	0.64	0.43	0.43	0.52	0.66	0.75
"3279"	"YHR101C"	0.38	0.44	0.41	0.44	0.32	0.39	0
"3280"	"YHR102W"	0	0	0	0	0	0	0
"3281"	"YHR103W"	1.32	1.31	1.33	1.11	1.09	0.91	1.12
"3282"	"YHR105W"	0.31	0.25	0.37	0.38	0.31	0.31	0.32
"3283"	"YHR107C"	1.05	1.15	1.05	0.95	0.94	0.93	1.12
"3284"	"YHR109W"	0	0	0	0	0	0	0
"3285"	"YHR110W"	1.06	1.64	1.56	1.47	1.66	1.34	1.2
"3286"	"YHR111W"	0.67	0.83	0.8	0.88	1.06	1.09	1.05
"3287"	"YHR112C"	1.19	1.86	2.34	2.94	3.96	4.61	3.4
"3288"	"YHR114W"	0.65	0.55	0.63	0.61	0.67	0.5	0.62
"3289"	"YHR115C"	0.79	0.82	0.79	0.86	0.98	0.82	0.83
"3290"	"YHR116W"	0.59	1.4	1.24	2.44	2.14	1.25	0.66
"3291"	"YHR117W"	0.87	0.94	1.09	1.06	1.24	1.17	1.16
"3292"	"YHR118C"	0.44	0.43	0.37	0.41	0.44	0.37	0.43
"3293"	"YHR120W"	0.38	0.16	0.17	0.19	0.2	0.22	0.27
"3294"	"YHR121W"	2.5	3.62	3.44	2.86	2.5	2.34	2.49
"3295"	"YHR122W"	0.9	0.89	0.73	0.79	0.92	1.13	1.14
"3296"	"YHR123W"	0.78	0.83	0.87	0.91	0.94	0.97	0.98
"3297"	"YHR124W"	0	0	0	0	0	0	0
"3298"	"YHR125W"	0	0	0	0	0	0	0
"3299"	"YHR126C"	0	0	0	0	0	0	0
"3300"	"YHR127W"	0.98	0.9	0.87	0.75	0.76	0.73	0.87
"3301"	"YHR129C"	0.66	0.53	0.48	0.45	0.52	0.63	0.65
"3302"	"YHR130C"	0.99	0.83	0.71	0.78	0.81	0.91	0.86
"3303"	"YHR131C"	0.66	0.54	0.59	0.57	0.65	0.65	0.69
"3304"	"YHR133C"	3.38	3.63	2.95	2.95	3.22	3.63	3.31
"3305"	"YHR134W"	0.74	0.66	0.57	0.67	0.76	1.02	0.98
"3306"	"YHR135C"	2.13	2.08	1.88	1.68	2.04	1.93	2.55
"3307"	"YHR136C"	1.93	2.34	1.8	2.08	2.44	2.01	1.15
"3308"	"YHR138C"	3.11	11.2	9.82	16.86	14.47	10.16	4.94
"3309"	"YHR139C"	0.23	0.23	0.26	0.4	0.51	0.26	0.24
"3310"	"YHR139C-A"	0	0	0	0	0	0	0
"3311"	"YHR140W"	0	0	0	0	0	0	0
"3312"	"YHR141C"	11.76	15.74	9.17	6.35	5.76	8.09	9.29
"3313"	"YHR142W"	1.72	1.81	1.69	1.95	2.43	2.57	2.15
"3314"	"YHR143W"	5.2	5.06	3.57	4.16	5.06	7.66	5.49
"3315"	"YHR143W-A"	0	0	0	0	0	0	0
"3316"	"YHR145C"	0	0	0	0	0	0	0
"3317"	"YHR146W"	4.72	3.03	4.17	4.34	6.32	6.77	9.84
"3318"	"YHR147C"	0.83	1.7	2.08	1.71	1.74	1.2	0.92
"3319"	"YHR148W"	1.73	0.73	0.56	0.67	0.81	1.49	1.59
"3320"	"YHR150W"	0.68	0.52	0.59	0.6	0	0.78	0.96
"3321"	"YHR151C"	1.13	1.2	1.05	1.07	0.92	1.04	0.88
"3322"	"YHR152W"	1.84	1.87	2.15	2.12	2.42	1.67	1.62
"3323"	"YHR153C"	0	0	0	0	0	0	0
"3324"	"YHR154W"	1.27	1.37	0.95	1.51	1.01	1.1	0.68
"3325"	"YHR155W"	0.7	0.64	0.75	0.65	0.82	0.43	0.7
"3326"	"YHR156C"	0.77	0.77	0.57	0.68	0.68	0.76	0.61
"3327"	"YHR157W"	0.48	0.52	0.46	0.41	0.53	0.63	0.48
"3328"	"YHR159W"	0	0	0	0	0	0	0
"3329"	"YHR160C"	0	0	0	0	0	0	0
"3330"	"YHR161C"	0.78	1.27	1.79	1.46	1.58	1.03	1.03
"3331"	"YHR162W"	9.43	16.42	14.49	11.85	11.94	16.19	10.83
"3332"	"YHR165W-A"	0	0	0	0	0	0	0
"3333"	"YHR166C"	0.78	0.78	0.93	0.82	0.58	0.72	0.87
"3334"	"YHR167W"	0.89	0.9	0.89	0.97	0.92	0.9	0.83
"3335"	"YHR168W"	0.7	0.65	0.85	0.9	0.63	0.79	0.64
"3336"	"YHR169W"	1.12	0.3	0.2	0.29	0.36	0.8	0.93
"3337"	"YHR171W"	0.34	0.57	0.56	0.63	0.58	0.36	0.4
"3338"	"YHR172W"	2	1.29	1.83	1.2	1.09	1.21	1.43
"3339"	"YHR173C"	0.73	0.61	0.53	0.44	0.46	0.39	0.7
"3340"	"YHR175W"	0.94	1.25	1.13	1.26	1.23	1.19	1.23
"3341"	"YHR176W"	0.51	0.73	0.94	0.89	0.8	0.84	0.68
"3342"	"YHR177W"	0	0	0	0	0	0	0
"3343"	"YHR178W"	0.42	0.63	0.77	0.77	0.71	0.74	0.61
"3344"	"YHR180W"	0	0	0	0	0	0	0
"3345"	"YHR181W"	1.78	2.22	1.96	1.92	2.16	1.92	1.97
"3346"	"YHR182W"	0.69	0.84	0.77	0.92	0.7	0.75	0.9
"3347"	"YHR184W"	0.55	0.4	0.44	0.55	0.26	0.5	0.37
"3348"	"YHR185C"	0	0	0	0	0	0	0
"3349"	"YHR187W"	0	0	0	0	0	0	0
"3350"	"YHR188C"	1.43	1.47	1.4	1.71	1.54	1.75	1.56
"3351"	"YHR189W"	0	0	0	0	0	0	0
"3352"	"YHR190W"	5.32	7.95	8.06	7.84	7.42	9.26	5.86
"3353"	"YHR191C"	1.09	1.76	1.42	1.43	1.42	1.43	1.19
"3354"	"YHR192W"	1.12	1.47	1.24	1.11	0.91	1.18	1.16
"3355"	"YHR194W"	0.78	1.08	1.04	1.21	0.76	0.85	0.76
"3356"	"YHR195W"	0.92	1.78	1.77	1.66	1.39	1.05	0.75
"3357"	"YHR196W"	1.94	0.64	0.45	0.45	0.7	1.01	1.2
"3358"	"YHR197W"	1.5	0.33	0.25	0.31	0.43	0.78	1.01
"3359"	"YHR198C"	1.09	1.73	1.93	2.01	1.26	1.19	1.12
"3360"	"YHR199C"	1.06	3.15	2.84	2.59	2.65	2.06	1.64
"3361"	"YHR200W"	2.83	6.02	0	6.11	6.5	5.62	4.03
"3362"	"YHR201C"	1.41	1.63	1.48	1.44	1.72	1.67	1.53
"3363"	"YHR202W"	0.68	0.82	0	0.95	0	0.6	0.69
"3364"	"YHR205W"	2.4	1.34	1.34	1.42	2.02	1.71	1.95
"3365"	"YHR206W"	1.13	0.6	0.57	0.6	0.73	1.21	0.93
"3366"	"YHR207C"	0.82	0.58	0.51	0.52	0.53	0.66	0.86
"3367"	"YHR209W"	0.55	0.97	1.47	2.11	2.27	2.18	1.06
"3368"	"YHR210C"	0	0	0	0	0	0	0
"3369"	"YHR211W"	0.29	0.21	0.22	0.25	0.27	0.26	0.29
"3370"	"YHR212C"	0.32	0.29	0.32	0.34	0.26	0.27	0.29
"3371"	"YHR213W"	0.16	0.11	0.12	0.13	0.15	0.12	0.17
"3372"	"YHR214C-B"	0	0	0	0	0	0	0
"3373"	"YHR214W"	0.5	0.38	0.41	0.45	0.55	0.53	0.66
"3374"	"YHR214W-A"	0	0	0	0	0	0	0
"3375"	"YHR215W"	0.99	0.5	0.22	0.2	0.3	0.5	0.32
"3376"	"YHR217C"	0	0	0	0	0	0	0
"3377"	"YHR218W"	0.46	0.39	0.4	0.39	0.42	0.31	0.37
"3378"	"YHR219W"	3.17	2.95	2.85	3.25	3.04	2.29	2.72
"3379"	"YIL001W"	0.45	0.49	0.52	0.5	0.54	0.58	0.66
"3380"	"YIL003W"	0.4	0.37	0.34	0.35	0.36	0.45	0.46
"3381"	"YIL004C"	1.05	1.38	1.16	1.1	1.22	0.9	0.93
"3382"	"YIL005W"	0.7	0.76	0.8	0.64	0.83	0.55	0.69
"3383"	"YIL006W"	0	0	0	0	0	0	0
"3384"	"YIL007C"	0.73	1.13	0.81	0.88	1	0.78	0.82
"3385"	"YIL008W"	3.25	3.25	2.04	1.66	1.88	3.03	3.03
"3386"	"YIL009C-A"	0	0	0	0	0	0	0
"3387"	"YIL009W"	0	0	0	0	0	0	0
"3388"	"YIL010W"	1.41	2.23	2.23	2.26	2.4	2.34	2.08
