R0	R10	R20	R30	R40	R60	R90	fit.cluster
YLR359W	6.62	3.91	1.98	1.92	2.58	3.24	3.91	4
YLR060W	5.55	5.03	3.82	3.21	3.76	5.1	5	4
YDR023W	9.86	9.39	6.11	3.46	4.44	6.51	7.32	1
YBL024W	2.09	0.96	0.75	0.71	0.9	1.31	1.36	4
YOR168W	4.99	3.43	2.69	2.25	2.69	3.34	3.73	4
YLR432W	2.95	2.13	1.24	1.03	1.24	2.71	2.81	4
YJL138C	16.52	16.98	10.6	8.26	8.91	14.99	15.52	1
YMR120C	7.91	2.94	1.27	1.66	2.54	2.21	2.14	4
YBL076C	3.9	1.87	1.72	1.52	1.83	2.61	2.9	4
YHR019C	6.95	6.53	4.1	3.2	3.2	4.95	5.42	1
YMR131C	3.28	1.64	0.72	0.75	1.02	2.33	2.59	4
YDR234W	1.85	0.82	0.48	0.54	0.52	1	1.4	4
YDR111C	0.74	0.41	0.31	0.28	0.33	0.44	0.45	4
YOR335C	3.02	1.63	1.27	0.97	1.24	1.97	2.26	4
YDR037W	7.93	6.09	3.73	2.69	3.24	6.9	6.35	1
YIL078W	16	13	9.92	7.52	8.17	12.47	14.73	1
YGR264C	3.65	2.04	1.21	0.99	1.32	1.9	2.41	4
YLR249W	39.96	18.77	9.58	6.41	9.58	29.26	30.29	2
YDR385W	23.23	17.85	11.38	10.25	11.14	16.31	18.61	2
YDL077C	0.95	2.32	0.65	0.63	0.69	0	0.58	4
YCL030C	3.79	1.67	1.18	1.02	1.25	1.25	1.67	4
YPL160W	4.09	2.94	2.42	1.85	2.34	2.86	3.49	4
YOL123W	2.39	2.08	1.53	0.98	1.08	1.29	2.2	4
YGR061C	2.85	1.28	1.17	0.85	1	1.16	1.41	4
YJR031C	0.99	0.68	0.62	0.48	0.62	0.48	0.97	4
YJL130C	4.83	3.81	3.61	3.58	2.91	3.95	4.35	4
YLL050C	15.07	27.35	25.69	26.42	28.51	29.51	23.64	2
YDR519W	3	3.77	3.46	4.42	6.2	9.14	7.17	1
YDL046W	5.44	12.51	16.73	16.5	18.18	10.3	7.44	1
YPL059W	3.02	5.33	5.4	5.67	6.08	4.9	3.87	1
YGR037C	12.7	24.54	25.76	25.93	25.58	34.46	26.11	2
YDL125C	7.3	15.87	16.55	15.12	15.66	26.15	13.26	1
YML078W	5.96	9.54	9.35	10.09	11.27	11.35	8.03	1
YKL192C	3.72	8.09	10.38	10.16	9.95	7.34	4.88	1
YER062C	3.53	3.94	4.92	5.94	7.94	18.12	6.96	1
YJL217W	3.56	8.07	11.1	12.4	11.49	6.93	5.59	1
YML028W	33.03	122.41	137.72	156.02	144.56	142.57	103.65	3
YML092C	3.65	6.53	7.04	7.34	7.92	9.42	5.26	1
YJR009C	61.55	106.43	93.29	113.28	104.96	136.59	72.19	3
YJR025C	1.68	3.45	4.14	4.17	3.86	5.77	4.43	4
YJR139C	7.58	9.01	8.35	9.39	11.09	11.73	10	1
YLR301W	4.5	6.73	6.63	6.28	6.92	7.94	7.36	1
YGR253C	3.8	6.38	7.49	7.59	7.54	9.15	5.71	1
YDR368W	2.24	5.32	6.28	5.94	6.92	6.03	4.57	1
YCR012W	110.01	192.88	203.87	226.21	267.16	290.33	171.44	5
YKL152C	122.05	212.51	179.94	177.46	203.85	259.82	161.05	5
YNL160W	7.51	32.87	58.44	76.05	61.34	36.98	13.92	6
YBR035C	2.71	5.02	5.19	4.13	4.88	3.78	3.33	4
YGR254W	41.85	68.45	54.83	61.69	60	88.46	49.08	6
YHR174W	226.55	357.97	320.39	338.66	309.48	531.41	269.42	5
YMR314W	2.92	6.44	7.25	6.86	5.57	7.1	4.82	1
YOR362C	5.28	12.83	14.94	15.47	13.19	14.24	8.58	1
YGR135W	4.25	8.44	10.68	11.36	9.36	11.93	7.04	1
YBR111C	3.6	6.99	8.61	9.23	8.98	8.37	5.37	1
YHR163W	4.22	15.11	15.86	13.34	14.49	14.59	10.76	1
YBR221C	7.79	10.95	10.57	11.9	13.29	11.73	10.43	1
YER023W	2.52	3.46	3.25	2.97	3.56	3.44	2.89	4
YMR226C	3.6	5.84	6.76	6.85	6.53	8.98	6.09	1
YHR008C	3.35	11.04	9.81	6.94	9.88	11.11	4.71	1
YJR148W	6.93	11.02	11.73	17.41	24.12	20	14.54	1
YPR103W	5.91	12.49	14.15	14.65	15.92	16.37	9.67	1
YLR231C	0.92	1.07	1.07	1.22	1.66	1.84	1.92	4
YBR026C	1.33	3.07	3.8	4.07	3.13	2.56	1.62	4
YJL167W	6.64	10	9.79	9.46	9.93	10.94	9.93	1
YHR183W	10.88	25.53	30.36	23.49	22.38	26.98	42.34	2
YER178W	9.38	11.87	12.46	14.82	16.79	15.88	13.26	1
YMR099C	1.74	2.67	2.56	2.54	3.15	3.15	2.63	4
YNL079C	8.24	12.23	14.34	14.54	13.11	18.28	14.54	1
YFR044C	6.54	9.78	10.12	12.2	11.95	11.39	9	1
YOL038W	5.1	9.79	12.05	11.56	12.92	11.81	8.58	1
YEL047C	1.41	1.73	1.55	1.61	2.07	2.64	1.84	4
YOR007C	7.42	17.16	20.98	20.83	22.48	23.77	19.44	2
YBR286W	8.52	12.74	15.36	21.28	23.78	21.58	13.19	1
YLR303W	14.89	66.07	94.09	102.25	108.08	112.67	59.96	3
YER177W	28.3	51.72	59.83	60.66	72.14	68.25	44.1	6
