R0	R10	R20	R30	R40	R60	R90	fit.cluster
YNL071W	3.86	5.49	6.81	7.25	8.86	7.25	5.73	1
YOL083W	0.75	2.04	2.51	3.64	3.93	2.32	1.94	4
YCL043C	10.88	17.68	21.03	34.87	42.34	50.35	36.86	2
YOR117W	2.51	4.71	5.45	5.6	6.13	6.13	3.93	1
YCR088W	1.32	1.88	2	2.36	2.75	1.96	1.75	4
YIL041W	2.79	0	4.17	0	4.03	4.82	0	4
YMR186W	14.23	36.77	47.52	37.8	42.24	32.23	38.86	6
YNL208W	4.93	22.16	32	27.1	77.18	84.46	35.76	6
YHR074W	0.97	1.08	1.14	1.41	1.38	1.31	1.18	4
YLR429W	1.98	2.26	2.56	2.69	3.11	3.4	3	4
YNL123W	2.03	1.45	1.71	1.84	2.07	2.68	2.4	4
YEL037C	1.48	2.3	2.69	2.66	3.29	2.81	2.01	4
YFL010C	2.18	3.78	3.85	4.49	4.37	4.49	3.72	4
YMR276W	3.16	5.9	5.5	3.58	6.41	8.94	5.35	1
YKL157W	2.6	2.49	3.43	4.13	4.31	4.25	3.65	4
YOR027W	3.09	11.51	14.18	8.79	8.03	7.29	7.7	1
YJL020C	0.92	1.46	1.7	2.1	2.33	1.19	1.15	4
YFL028C	2.34	3.17	3.17	2.67	2.8	2.88	2.61	4
YJL214W	0.33	0.49	0.56	0.65	0.28	0.31	0.29	4
YKR066C	1.66	4.39	4.07	3.98	2.61	1.75	1.81	4
YIL062C	3.58	7.84	8.46	7.31	6.73	5.28	3.78	1
YMR105C	0.82	8.14	14.67	12.17	7.59	1.28	1.44	1
YFR053C	3.59	42.34	77.92	44.76	26.25	7.49	4.77	2
YNR001C	2.05	6.09	6.09	5.72	4.78	2.49	1.75	4
YML120C	0.7	1.7	1.49	1.45	0.87	0.81	0.77	4
YJR125C	2.84	5.12	3.45	5.19	5.26	2.84	3	4
YNL098C	3.13	6.08	5.52	6.61	5.44	3.31	2.94	1
YHR037W	1.33	1.48	1.44	1.97	1.39	1.42	1.17	4
YGR130C	1.17	2.12	2.78	2.58	2.8	0.98	1.42	4
YBL063W	0.66	0.8	0.9	0.79	0.8	0.54	0.69	4
YBR136W	3.2	4.55	4.91	4.84	5.26	2.8	3.09	4
YBL047C	3.07	4	4.11	4.19	4.4	2.41	2.77	4
YGL040C	2.4	3.3	3.51	3.61	3.19	3.15	2.38	4
YJL052W	38.54	64.82	71.92	92.3	80.91	102.42	51.21	6
YGL011C	8.17	17.03	18.13	18.26	18.01	17.51	11.63	1
YDR174W	6.67	9.05	10.32	8.86	10.39	9.7	7.15	1
YOR332W	5.48	8.85	8.55	7.54	7.92	8.31	6.89	1
YGL157W	2.5	3.95	4.01	4.97	5.43	6.33	4.32	4
YDR148C	1.04	1.84	1.68	1.84	1.64	1.16	1.09	4
YOR232W	3.78	5.57	6.05	5.05	4.62	4.75	3.67	1
YGL221C	2.44	3.27	3.29	3.31	4.05	4.59	3.8	4
YNL045W	2.09	3.04	4.07	4.61	4.18	3.28	2.82	4
YOL057W	1.17	1.01	0	1.13	1.58	1.53	1.6	4
YOR151C	4.28	4.31	4.46	4.25	5.12	4.25	4.28	4
YJR090C	1.11	1	1.22	1.07	1.12	0.99	0.98	4
YBL007C	2.06	2.12	2.8	2.95	2.68	1.9	1.96	4
YHL030W	1.28	1.71	2.46	2.76	3.13	1.97	1.25	4
YJL121C	2.68	2.15	1.74	1.68	1.64	2.38	3.14	4
YOR251C	1.29	1.3	1.06	0.97	1.19	1.68	1.68	4
YDR298C	3.15	5.57	4.59	3.38	3.18	3.5	3.09	4
YKL214C	0.9	1.04	0.86	0.94	0.72	1.03	0.79	4
YDR418W	39.74	51.72	25.5	18.67	19.87	28.3	29.09	2
YHR128W	4.51	3.51	2.21	2.3	3.02	3.79	2.84	4
YPR073C	1.61	2.33	2.14	2.1	1.62	1.89	2	4
YBR101C	1.63	4.55	3.77	2.14	2.74	3.11	3.45	4
YML001W	5.31	8.44	8.62	6.31	7	7.51	6.62	1
YLR192C	4.31	5.65	5.38	4.53	4.69	5.73	5.31	1
YDR469W	1.16	1.11	0.93	0.86	1.01	1.11	1.13	4
YPL237W	6.93	7.74	5.36	4.24	4.45	5.87	5.99	1
YGL067W	1.26	1.35	1.16	1.14	1.37	1.41	1.31	4
YHR049W	3.75	5.49	4.74	3.22	3.04	4.98	4.68	4
YGR155W	7.95	10.48	8.28	7.21	7.95	10.48	8	1
YIL138C	3.35	3.88	4.01	3.42	3.42	3.33	4.12	4
YHR069C	1.69	0.91	0.68	0.76	1.05	1.83	1.81	4
YDR035W	3.16	3.03	2.69	2.57	3.23	4	2.97	4
YML074C	4.9	2.93	2.7	2.4	3.49	4.06	5.32	4
YBR025C	9.88	12.86	10.09	7.14	7.24	10.67	11.67	1
YFR006W	1.61	2.4	2.34	2.24	2.3	1.64	1.69	4
YPR163C	4.86	3.87	2.37	1.63	2.05	3.44	4.26	4
YPR145W	8.48	9.22	7.86	6.84	6.99	6.13	8.91	1
YGL043W	1.55	1.35	1.17	0	1.44	1.51	1.5	4
YIL021W	2.35	2.52	2.66	2.24	2.48	2.24	2.36	4
YPR033C	4.94	4.18	2.94	2.52	2.86	4.21	5.22	4
YDR502C	2.63	4.33	3.42	2.98	2.56	3.47	2.74	4
YLR335W	2.13	1.66	1.52	1.22	1.6	1.45	1.9	4
YPR180W	0.8	0.91	0.99	0.93	0.98	0.89	0.92	4
YPL070W	0.89	1.01	1.11	1.05	0.91	1.09	0.98	4
YKR028W	1.16	0.79	0.78	0.76	0.89	0.77	0.91	4
YER103W	2.38	11.56	19.04	11.4	9.79	12.92	10.06	1
YLL029W	1.03	1.26	1.19	0	1.45	1.22	0	4
YGR240C	7.41	4.82	4.23	4.23	4.96	7.73	5.28	1
YHR020W	5.15	2.98	1.44	1.08	1.49	3.19	3.62	4
YDL060W	2.04	1	1.06	0.57	0.87	1.2	1.63	4
YFR038W	0.68	0.39	0.36	0.74	0.43	0.51	0.61	4
YDR127W	3.02	2.54	2.36	2.2	2.24	2.39	2.56	4
YJL076W	0.9	0.47	0.4	0.42	0.5	0.53	0.78	4
YDL145C	3.6	3.33	3.57	3.72	3.91	3.45	2.8	4
YDR464W	1.29	0.88	0.82	0.88	0.86	0.82	1.08	4
YDL171C	2.09	1.38	1.23	1	1.25	1.15	0.99	4
YOR341W	2	0.6	0.52	0.74	0.82	1.32	1.41	4
YPL231W	6.44	4.31	3.75	3.09	3.99	4.75	5.49	4
YDR002W	12.05	18.39	16.01	11.72	11.48	14.13	14.43	1
YER030W	3.2	5.06	5.66	5.17	6.23	4.38	4.2	1
YAR053W	0.45	0.38	0.38	0.43	0.44	0.43	0.42	4
YLR406C	15.82	14.36	11.91	9.95	8.78	7.91	8.31	1
YDL121C	1.81	1.9	1.5	1.45	1.21	0	0	4
YBR009C	15.61	28.33	19.22	12.95	12.33	17.32	19.76	2
YBL001C	3.48	5.81	5.54	5.2	5.89	5.54	4.23	1
YGR063C	2.61	3.69	3.26	3.35	2.9	3	2.59	4
YDR328C	3.97	7.45	6.76	5.81	5.93	5.53	4.85	1
YPR052C	2.9	3.43	3.47	2.88	3.35	2.94	2.61	4
YIL053W	17.56	12.33	7.38	10.73	17.08	42.93	20.73	2
YEL034W	17.12	25.24	20.36	17.48	16.43	15.98	17.48	2
YHR021C	52.46	47.61	35.09	29.31	30.34	39.21	36.08	6
YER146W	2.61	3.57	3.28	2.8	2.82	2.5	2.59	4
YNL135C	13.82	19.41	15.88	14.41	14.81	14.41	12.9	1
YPL211W	4.13	2.08	0.99	0.83	1.15	2.82	3.57	4
YDR454C	7.24	9.49	7.76	5.23	5.72	7.76	9.3	1
YDL110C	1.53	8.32	11.13	7.93	7.87	4.46	2.92	1
YLR179C	3.32	4.83	4.26	4.35	4.26	5.28	5.51	4
YHR051W	3.23	6.72	5.46	3.92	3.94	3.03	2.93	4
YPL111W	1.73	2.24	2.3	1.78	1.42	0.78	1.92	4
YDR045C	3.33	2.96	2.52	2.09	2.4	3.77	2.9	4
YPL271W	4.11	8.1	6.09	4.95	4.28	3.78	3.43	1
YNL004W	1.26	1.26	1.01	1.14	1.23	1.23	1.31	4
YMR042W	0.59	0.28	0.28	0.55	0.43	0.62	0	4
YGL187C	4.23	8.76	5.78	3.21	3.3	2.97	3.1	4
YLR271W	0.69	0.79	1.04	1	1.1	0.7	0.76	4
YNR046W	1.75	1.19	0.79	0.81	1	1.42	1.59	4
YGR114C	1.53	1.31	1.21	1.09	1.14	0.92	1.21	4
YIL051C	12.67	22.36	22.83	22.67	19.33	17.06	11.49	2
YPR062W	6.15	7.57	5.31	4.59	4.47	5.13	5.24	1
YDL055C	11.72	14.73	10.78	12.65	17.52	21.86	18.64	1
YMR303C	11.92	16.4	12.86	13.69	14.88	20.33	12.17	1
YFL014W	2.83	48.53	247.42	208.05	290.18	208.05	56.92	3
YLR167W	26.75	46.25	33.16	21.43	16.81	20.27	21.88	2
YLR074C	3.08	1.45	1.08	1.26	1.6	3.41	3.1	4
YEL026W	13.19	10.56	5.54	4.09	6.19	12.91	12.39	1
YGL106W	5.85	8.27	7.94	6.67	6.54	6.67	6.63	1
YLR038C	4.99	8.88	7.62	5.21	4.66	4.26	4.35	1
YDR397C	1.77	1.54	1.36	1.4	1.18	1.84	1.85	4
YDR279W	0.58	0.42	0.39	0.32	0.45	0.49	0.61	4
YGR187C	1.74	0.63	1.74	0.49	0.65	0.94	1.39	4
YFL045C	8.54	11.51	8.31	7.28	9.03	14.36	16.5	1
YBR252W	3.34	3.18	2.23	2.07	2.2	3.5	3.8	4
YDR304C	5.81	9.77	9.77	9.91	9.84	9.18	6.91	1
YLR208W	3.75	4.43	4.25	3.86	4.85	5.57	4.25	4
YER159C	2.25	2.3	2.27	2.19	2.05	2.37	2.85	4
YJR069C	1.76	2.1	1.65	1.46	1.59	2.33	1.94	4
YHR029C	0.72	1.63	1.81	2.04	2.11	1.87	1.52	4
YOR136W	5.75	10.95	9.8	8.41	7.69	6.07	4.67	1
YEL003W	3.87	4.32	4.03	3.48	3.76	4.03	3.95	4
YDR308C	1.21	1.59	1.28	1.21	0.97	1.22	1.05	4
YOL067C	0.38	0.28	0.38	0.47	0.52	0.51	0.38	4
YML004C	2.81	5.71	8.3	9.4	9.8	7.63	4.57	1
YCR051W	1.83	2.11	1.44	1.61	1.7	2.81	2.9	4
YLR009W	3.27	1.22	0.72	0.79	1.11	2.36	2.33	4
YNL244C	11.7	13.82	12.03	8.39	10.92	15.66	11.62	1
YBR053C	1.28	3.24	4.07	4.98	4.98	3.43	2.15	4
YLR075W	64.25	109.56	81.33	54.03	53.28	64.7	61.63	6
YNL037C	2.19	2.91	2.6	2.53	2.75	2.66	3.14	4
YDL004W	4.04	7.13	5.48	3.77	3.44	2.78	3.39	4
YDR487C	2.55	3.81	3.37	3.46	4.35	5.9	4.2	4
YHL033C	17.21	20.33	11.84	7.39	7.04	12.87	15.51	1
YGR214W	21.97	24.54	14.69	8.56	9.43	12.7	16.88	2
YDR381W	5.22	9.02	7.12	5.44	5.36	6.38	5.83	1
YIR034C	1.44	1.63	1.82	1.82	1.96	1.77	1.38	4
YML079W	1.12	1.63	1.77	1.73	1.94	1.8	1.44	4
YPR191W	2.56	5.33	4.04	2.92	2.63	1.85	1.91	4
YMR073C	1.06	1.26	1.21	1.18	1.22	1.14	1.38	4
YDR068W	1.04	0.95	1.09	0.97	1.1	0.76	1.05	4
YKL024C	3.25	3.09	2.46	2.41	2.93	5.06	4.62	4
YAR015W	4.94	2.49	1.67	1.53	3.21	2.82	3.26	4
YNL113W	3.96	2.14	1.34	1.47	2.09	3.85	3.96	4
YLR200W	1.18	1.38	1.28	1.44	1.3	1.67	1.35	4
YMR083W	13.8	15.74	12.18	11.05	12.7	19.51	15.74	1
YDL168W	2.08	3.52	3.7	3.11	3.62	4.34	3.88	4
YBL021C	0.75	0.99	0.99	1	0.8	1.09	0.86	4
YMR200W	1.49	2.08	2.01	2	1.93	2.19	1.85	4
YHL034C	7.31	13.63	15.44	24.4	17.86	14.81	9.57	1
YLR178C	0.96	6.3	24.02	16.07	17.83	6.48	2.54	1
YDL201W	1.8	0.87	0.67	0.8	0.85	1.32	1.48	4
YGL246C	1.53	1.21	0.91	0.95	0.99	1.52	1.43	4
YNL055C	25.38	62.49	71.79	76.41	67.44	51.47	46.39	6
YNL032W	2.03	2.19	1.98	1.75	1.71	1.73	1.94	4
YMR079W	4.71	4.34	3.36	3.36	3.91	5.05	4.28	4
YJR070C	4.18	2.05	0.75	0.75	1.47	4.06	4.01	4
YJL177W	16.3	18.09	9.43	6.18	6.35	10.25	11.93	1
YKR076W	0.39	2.83	5.48	10.5	8.96	3.44	1.28	1
YPL171C	0.69	2.14	2.26	2.06	1.95	1.68	1.41	4
YHR144C	1.17	0.78	0.62	0.67	0.78	0.97	1.17	4
YHR193C	16.37	25.15	18.16	12.58	11.26	14.05	12.4	2
YNL036W	1.26	3.75	5.2	3.29	3.15	1.66	1.45	4
YDR012W	20.41	24.1	14.94	10.42	10.64	15.68	16.12	2
YDR408C	2.19	2.08	1.58	1.37	1.42	1.63	1.54	4
YCL009C	3.62	4.05	3.09	2.54	2.49	2.9	3.09	4
YER009W	7.54	11.99	8.6	0	7.59	7.7	7.33	1
YLR025W	1.62	1.94	1.94	1.8	1.81	1.25	1.27	4
YPR035W	11.15	7.83	6.67	9.12	9.84	23.08	14.51	1
YJL140W	2.14	2.76	2.84	2.45	2.37	2.09	2.23	4
YKL093W	0.25	0.37	0.47	0.42	0.37	0.36	0.28	4
YOR120W	1.15	6.6	9.2	9.33	8.18	5.95	2.32	1
YHR063C	3.09	3.86	3.63	3.07	3.78	4.08	4.2	4
YGL148W	4.61	5.33	3.44	2.72	2.9	4.97	4.97	4
YML068W	0.5	0.56	0.54	0.57	0.51	0.39	0.52	4
YOL140W	0.83	0.55	0.43	0.51	0.47	0.81	0.92	4
YOL147C	2.19	2.02	1.49	1.79	2.02	2.42	2.49	4
YPL037C	18.37	28.43	19.69	16.56	16.67	19.15	17.5	2
YHR132C	2.25	2.1	1.89	1.95	2.07	2.25	2.07	4
YHR179W	10.23	29.55	16.62	12.69	19.77	53.27	57.89	2
YOL041C	2.5	0.72	1.1	0.5	1.04	1.51	1.64	4
YBR028C	0.93	0.93	0.84	0.8	0.86	0.84	0.96	4
YCR060W	1.17	1.68	1.72	1.47	1.47	1.85	1.4	4
YNL064C	7.58	18.29	16.26	9.94	11.49	15.06	14.45	1
YBL015W	1.61	2.63	2.73	2.15	1.22	1.35	1.27	4
YLR238W	0.54	0.51	0.59	0.56	0.59	0.4	0.55	4
YLR195C	1.4	1.5	1.37	1.36	1.64	1.95	1.89	4
YHR064C	8.29	7.36	5.14	3.97	4.57	7.89	10.13	1
YHR208W	7.66	5.88	4.05	3.75	5.8	8.21	8.86	1
YDL066W	2.91	4.25	4.11	3.78	3.94	4.31	3.55	4
YOR104W	1.93	1.78	1.88	2.14	2.03	2.41	2.51	4
YMR217W	7.72	4.25	1.31	0.77	1.16	4.95	6.86	4
YPL043W	2	0.42	0.36	0.32	0.5	0.94	1.16	4
YGR193C	1.45	2.17	2.28	1.97	1.95	1.49	1.65	4
YPL004C	5.81	24.06	30.24	31.31	25.43	10.05	7.3	2
YLR180W	6.3	7.65	4.78	3.77	4.04	6.8	6.04	1
YNR019W	1.18	1.78	1.71	2.56	2.01	2.26	1.53	4
YBR078W	25.39	28.76	24.35	27.4	31.04	41.24	43.29	2
YLR163C	1.01	1.43	1.6	1.65	1.65	1.1	1.15	4
YJL016W	1.2	1.73	1.76	2	2.06	0	0	4
YDR044W	1.31	1.18	0.86	0.8	0.84	0.99	0.89	4
YBR127C	8.56	10.04	9.18	8.74	10.99	11.07	9.18	1
YGR124W	8.22	9.12	9.12	8.05	10.2	11.63	10.05	1
YML080W	1.19	0.45	0.37	0.43	0.55	0.78	0.94	4
YDR444W	0.15	0.11	0.09	0.1	0.1	0.1	0.15	4
YGL252C	1.65	1.95	2.16	2.06	2.06	1.58	1.88	4
YGR279C	12.81	13.35	11	12.2	11.39	11.39	17.26	1
YDL188C	1.38	2.06	1.85	1.81	1.85	1.5	1.32	4
YDL065C	1.72	1.65	1.76	1.49	1.7	1.56	1.55	4
YMR295C	5.54	7.02	5.86	5.51	6.64	10.34	9.01	1
YNR015W	1.24	0.77	0.57	0.69	0.73	1.05	1.18	4
YNL007C	4.33	23.81	16.26	10.15	9.02	10.29	13.77	1
YBR162C	13.71	11.21	9.63	10.17	11.77	16.19	17.71	1
YOL068C	1.64	1.51	1.73	1.49	1.74	1.64	1.54	4
YGR276C	1.24	1.31	1.31	1.27	1.35	1.57	1.47	4
YMR044W	1.15	0.95	1.04	0.96	1.08	0.89	1.23	4
YGR019W	0.89	2.49	4.43	3.94	5.41	4.58	1.94	4
YOR204W	3.13	2.29	2.09	3.28	2.68	5.44	3.04	4
YNL061W	1.81	0.56	0.29	0.36	0.52	1.2	1.6	4
YPL158C	1.12	0.81	1.07	1.02	0.88	0.74	0.84	4
YBL045C	2.4	3.93	3.47	2.35	2.5	1.92	1.95	4
YER003C	1.91	1.99	2.05	1.91	2.47	3.54	3.1	4
YNR053C	4.06	0.9	0.53	0.81	0.97	2.43	2.43	4
YKR063C	0.81	0.65	0.56	0.72	0.72	0.83	0.91	4
YKL172W	3.2	0.74	0.45	0.54	0.77	1.57	2.38	4
YJR121W	7.41	11.79	11.31	8.87	7.67	5.69	5.31	1
YLR134W	16.64	18.21	14.19	14.89	13.8	16.99	15.74	1
YKL195W	3.09	4.79	5.81	6.06	11.63	3.84	3.63	1
YBR196C	19.17	19.04	13.19	15.15	19.04	29.26	19.99	2
YDR188W	4.83	5.25	5.91	7.69	6.6	9.2	7.17	1
YDR432W	3.78	3.86	3.96	3.55	4.43	5.27	4.28	4
YHR216W	1.37	1.02	0.58	0.45	0.61	1.24	1.18	4
YOR155C	0.62	1.12	1.28	1.28	1.55	1.22	0.76	4
YBR130C	0.94	1.16	1.07	0.99	0.96	0.71	0.49	4
YER090W	1.67	1.8	1.42	1.28	1.5	1.55	1.89	4
YBL020W	1.47	0.95	0.84	1	1.07	1.51	1.44	4
YOR375C	6.73	7.27	0	8.01	6.73	3.98	4.03	1
YML002W	0.51	0.51	0.57	0.65	0.66	0.62	0.69	4
YDR312W	1.37	0.37	0.33	0.33	0.51	0.77	1.02	4
YMR290C	1.4	0.52	0.25	0.27	0.38	1.12	1.18	4
YLR304C	5.58	6.87	5.81	5.62	5.35	2.46	1.89	1
YMR313C	1.37	1.46	1.53	1.29	1.41	1.36	1.36	4
YNL104C	3.24	3.69	3.52	4.84	6.08	6.89	5.68	1
YGL253W	13.59	24	19.22	13.31	8.14	6.66	7.49	1
YDL226C	1.75	2.24	2.2	1.82	2.17	2.26	1.98	4
YLR044C	138.72	162.69	125.89	120.76	109.59	127.65	125.89	3
YGR041W	0.72	0.6	0.66	0.81	0.93	1.04	0.9	4
YKR027W	0.79	0.52	0.6	0.56	0.68	0.7	0.91	4
YOR123C	1.4	0.78	0.88	0.73	1.48	0.87	1.12	4
YML094W	1.65	1.87	1.25	1.14	1.32	1.79	1.62	4
YOR233W	0.86	0.41	0.44	0.4	0.5	0.58	0.91	4
YGR086C	7.59	11.35	14.27	14.77	17.94	6.17	8.25	1
YDL153C	3.84	1.07	0.5	0.5	0.77	1.77	2.5	4
YLR336C	1.29	0.39	0.37	0.36	0.52	0.7	1.06	4
YDR113C	0.62	0.55	0.57	0.48	0.51	0.4	0.69	4
YDR299W	1.51	0.36	0.2	0.26	0.45	0.68	1.09	4
YDL229W	15.62	17.22	18.84	16.06	14.58	12.87	11.92	1
YDR390C	1.01	0.78	0.86	0.73	0.97	0.88	1	4
YMR167W	0.57	0.46	0.41	0.46	0.5	0.45	0.58	4
YBR135W	1.21	0.97	0.94	0.9	1.19	1.27	1.33	4
YAR014C	0.95	1.22	1.81	0.64	0.86	0.74	1.01	4
YLL008W	3.85	0.77	0.31	0.39	0.81	2.27	3.12	4
YPL093W	3.66	0.77	1.02	1.26	1.37	2.91	1.95	4
YPL181W	0.77	0.74	0.64	0.65	0.63	0.71	0.65	4
YOL019W	1.09	0.77	0.9	1.06	1.56	1.81	2.11	4
YKL029C	2.77	0.58	0.44	1.33	0.72	1.95	2.59	4
YDR129C	4.02	5.69	8.21	8.27	8.44	5.65	4.55	1
YBL099W	4.07	6.98	6.29	5.04	4.84	3.62	3.74	1
YJL080C	3.36	2.25	1.85	1.92	2.22	2.49	2.58	4
YKR048C	2.66	2.87	2.61	3.12	3.23	3.49	3.3	4
YAL031C	0.97	1.22	1.29	1.07	1.14	0.86	1.04	4
YLR369W	0.68	0.79	1	1.05	1.12	0.89	0.84	4
YCR011C	1.15	1.29	2.18	2.43	2.45	1.65	1.76	4
YJL041W	1.26	1.06	0.84	0.9	1.11	1.18	1.2	4
YPR154W	0.94	1.39	1.4	1.28	1.43	1.83	1.53	4
YAL053W	2.04	1.75	1.91	2.37	2.29	3.93	1.93	4
YLR427W	1.85	1.59	1.98	1.9	2.39	2.73	2.55	4
YHR047C	1.25	1.07	0.97	0.8	0.72	0.59	0.89	4
YBR295W	0.59	0.41	0.47	0.59	0.55	0.73	0	4
YNL085W	2.76	1.94	2.15	2.02	2.44	2.24	2.69	4
YAL011W	0.81	0.69	0.67	0.76	0.74	0.72	0.69	4
YOR206W	2.7	0.7	0.38	0.4	0.75	1.51	2	4
YNL127W	0.57	0.49	0.59	0.56	0.57	0.44	0.51	4
YER070W	2.07	0.95	0.73	0.75	1.24	1.14	1.45	4
YAR007C	1.37	1.79	2.01	1.9	2.06	1.66	1.42	4
YNL023C	0.78	0.32	0.36	0.45	0.47	0.78	0.88	4
YGL234W	3.22	1.38	0.68	0.8	1.13	1.68	2.32	4
YPR162C	0.64	0.58	0.52	0.53	0.67	0.55	0.68	4
YMR302C	1.23	2	3.49	2.83	2.95	2.43	1.86	4
YJR109C	1.33	0.59	0.62	0.69	0.91	1.14	1.27	4
YCR057C	1.06	0.2	0.19	0.19	0.25	0.66	0.7	4
YDL073W	1.26	0.79	0.89	0.83	0.96	0.87	0.98	4
YMR189W	1.37	0.89	1.11	1.37	1.52	1.3	1.26	4
YML034W	0.52	0.46	0.57	0.56	0.49	0.39	0.46	4
YGL093W	0.73	0.84	1.16	0.97	1.16	0.75	0.79	4
YLR410W	0.98	0.65	0.71	0.74	0.92	0.74	0.82	4
YPR175W	0.7	0.78	0.54	0.59	0.63	0.7	0.83	4
YER157W	0.71	0.62	0.68	0.73	0.8	0.79	0.94	4
YDR379W	1.04	1.12	1.07	1.31	1.52	0.91	1.19	4
YPR181C	2.17	2.29	2.19	2.94	2.64	2.67	2.44	4
YNL247W	2.51	1.83	1.4	1.23	1.53	2.27	2.84	4
YLR389C	1.09	0.83	0.94	0.92	1.04	1	0.92	4
YOR198C	5.7	5.17	6.19	5.98	7.32	8.64	8.17	1
YJL165C	1.42	1.34	1.64	1.48	1.43	2	1.42	4
YMR031C	1.53	2.35	3.56	3.56	3.61	1.39	1.54	4
YIL031W	1.13	0.97	1.06	0.96	1.06	0.89	1.08	4
YFR040W	0.87	0.74	0.78	0.77	0.84	0.95	0.78	4
YPL180W	1.08	1.19	1.05	1.05	0.94	0.82	0.96	4
YPR088C	2.07	1.8	1.59	2.06	1.88	2.16	2.11	4
YAL043C	1.08	0.79	1.09	1.05	1.1	0.91	0.82	4
YDL102W	0.95	1.03	0.93	0.91	0.99	0.89	0.86	4
YHR119W	0.8	0.54	0.57	0.49	0.59	0.44	0.69	4
YPR184W	0.62	1.41	3.98	3.93	1.99	0.81	0.64	4
YJL176C	0.56	0.39	0.41	0.38	0.47	0.38	0.64	4
YDR017C	1.48	1.2	1.28	1.31	1.17	0.97	1.06	4
YNL106C	0.56	0.55	0.56	0.59	0.57	0.51	0.5	4
YDR069C	1.08	1.35	1.72	1.7	1.82	1.59	1.49	4
YBR115C	1.53	0.69	0.68	0.75	0.9	1.02	1.14	4
YNL257C	1.08	1	1.17	1.24	1.29	0.89	1.12	4
YPR115W	1.68	2.13	2.01	1.93	1.67	1.45	1.4	4
YLR357W	1.11	0.84	0.9	0.88	1.07	0.79	1.12	4
YJL095W	0.62	0.49	0.57	0.6	0.59	0.59	0.53	4
YPL022W	0.91	0.82	0.96	0.89	0.96	0.72	0.82	4
YDR430C	1.3	3.89	0	1.94	0.65	0.26	5.2	4
YMR019W	0.66	0.4	0.54	0.62	0.5	0.47	0.42	4
YDR074W	2.28	12.2	23.74	15.02	12.99	3.97	4	1
YIL125W	1.05	1.61	1.19	1.56	1.58	1.01	1.11	4
YPL174C	0.58	0.48	0.6	0.46	0.35	0.41	0.38	4
YDR097C	0.92	0.49	0.46	0.37	0.45	0.52	0.74	4
YMR128W	1.69	0.36	0.44	0.38	0.43	0.79	1.02	4
YMR012W	1.69	1.43	1.72	1.43	1.75	1.48	1.15	4
YIL151C	0.95	0.78	0.76	0.88	0.71	0.71	0.72	4
YGR140W	1.04	0	1.06	0.99	0.67	0.97	0.86	4
YCL014W	0.54	0.29	0.27	0.28	0.37	0.24	0.54	4
YPL009C	2.29	1.7	2.49	1.96	2.05	2.38	2.24	4
YOR291W	1.26	1.01	1.2	1.23	1.26	0.93	0.88	4
YDL112W	1.75	1.41	1.45	1.18	1.48	1.03	1.28	4
YBR218C	2.02	1.57	1.86	1.95	2.18	1.64	1.65	4
YER176W	1.35	0.73	0	0.78	1.02	0.86	1.02	4
YCR073C	0.77	0.58	0.49	0.66	0.67	0.8	0.72	4
YDR093W	1.29	1.31	1.11	0.96	0.99	0.99	1.01	4
YOR336W	2.16	1.84	2.02	1.84	2.57	2.12	2.02	4
YKR086W	0.67	0.75	0.78	0.85	0.74	0.72	0.75	4
YER164W	1.69	0.98	0.96	0.83	0	0.85	1.28	4
YER166W	1.21	0.88	0.95	0.92	1.18	0.95	1.03	4
YML072C	2.72	2.42	3.12	2.66	2.43	1.3	1.82	4
YOR124C	2.23	2.79	3.92	3.18	4.08	2.04	2.5	4
YAL002W	0.6	0.66	0.68	0.66	0.68	0.63	0.62	4
YLR071C	1.07	0.8	0.86	0.89	0.97	0.78	0.9	4
YER093C	1.08	1.18	1.12	1.17	1.13	0.97	1.03	4
YLR247C	0.8	0.71	1.13	1	1.01	0.77	0.72	4
YBL066C	0.87	1.04	1.21	0.68	0.97	0.9	0.74	4
YDL195W	2.1	1.45	1.64	2.21	2.09	1.96	0	4
YKL014C	1.21	0.6	0.78	0.53	0.72	0.66	0.92	4
YBR081C	1.01	1	0.99	0.93	1.04	0.85	0.86	4
YIL159W	0.62	0.32	0.44	0.34	0.39	0.39	0.5	4
YMR273C	0.92	0.88	0.99	0.97	0.98	0.86	0.84	4
YLL048C	3.92	2.4	2.57	2.59	3.21	3.06	3.56	4
YPR010C	3.36	1.22	0.9	0.76	1.01	2.12	2.31	4
YOR304W	0.92	0.7	0.79	0.71	0.77	0.75	0.79	4
YBL079W	1.43	0.9	1.02	0.79	1.03	0.87	1.18	4
YJR033C	0.79	0.73	0.88	0.9	1.05	0.69	0.85	4
YCR084C	1.64	1.23	1.17	1.38	1.45	1.24	1.71	4
YPL167C	0.99	0.83	1.02	0.87	0.71	0.9	0.68	4
YGL122C	2.05	2.31	2.42	2.23	2.49	2.47	1.91	4
YFL008W	0.72	0.4	0.45	0.39	0.46	0.31	0.5	4
YLL021W	0.97	0.57	0.46	0.39	0.52	0.44	0	4
YER132C	0.74	0.43	0.43	0.52	0.59	0.63	0.61	4
YMR259C	1.05	0.39	0.4	0.38	0.47	0.6	0.86	4
YDL140C	2.64	0	3.12	0	2.64	0	0	4
YLR305C	1.04	0.89	0.83	0.72	0.8	0.77	0.7	4
YDR293C	0.97	1.08	1.22	1.28	1.51	1.45	1.12	4
