"sodiumchloride$YORF"	"P0"	"P30"	"P60"	"P90"	"P120"	"P240"
"258"	"YHR013C"	3313.279871	3405.840456	3466.91415	3224.994795	3223.751156	3124.677126
"259"	"YHR023W"	2144.790022	2343.228444	2330.040547	2361.506219	2285.686981	2043.415931
"260"	"YHR025W"	92610.39148	92863.69107	91924.74427	92503.28797	90922.11367	85443.63339
"261"	"YHR039C"	2502.203353	2566.228682	2458.449814	2369.26411	2435.715177	2493.818388
"262"	"YHR042W"	46625.646	44775.2012	43934.26196	42651.85335	40661.02739	39193.83609
"263"	"YHR052W"	45869.66773	46548.57444	45266.57364	42005.85544	42069.59885	40897.36793
"264"	"YHR063C"	2595.30427	2598.387797	2659.922622	2544.807017	2599.154662	2546.787393
"265"	"YHR066W"	8146.546862	8198.204382	7433.405381	6753.917025	7046.220761	6134.518359
"266"	"YHR068W"	7597.549342	7570.50033	7503.517967	7450.282154	7345.643972	7163.011879
"267"	"YHR084W"	1923.060261	1962.817858	2030.734588	1972.094063	1947.809598	2378.7329
"268"	"YHR088W"	783.7988873	730.2774295	679.7194148	651.8469507	634.6346744	599.3972393
"269"	"YHR089C"	5727.807926	5232.893972	4746.142112	4988.66666	5083.47648	5585.280105
"270"	"YHR098C"	12187.92069	11009.82347	13758.4945	11986.78625	11292.21338	12280.1311
"271"	"YHR107C"	1169.430224	1170.202751	1180.815039	1196.342583	1149.080437	1191.055382
"272"	"YHR108W"	2265.485518	2287.619872	2460.124058	2496.139269	2535.20678	2421.641012
"273"	"YHR117W"	4112.700375	3820.924043	4086.987861	4224.475836	4096.723881	4283.188356
"274"	"YHR121W"	8323.698854	8364.122117	8462.823698	9162.518754	9534.79463	9807.902515
"275"	"YHR132C"	468.3946501	908.181284	737.6972606	1297.895811	1446.619372	485.8008172
"276"	"YHR135C"	1629.891555	1584.641963	1761.286768	1698.253783	1822.455826	1692.046511
"277"	"YHR143W-A"	906.7142854	864.6480308	806.7069547	829.9094012	839.3396223	793.1607993
"278"	"YHR158C"	1350.090109	997.4662063	954.3523549	955.5548451	949.7835818	851.7437169
"279"	"YHR163W"	3421.779388	2962.334312	3723.652914	3785.56145	2555.091171	3098.828772
"280"	"YHR170W"	11894.89889	11804.30284	12122.87657	11091.1938	11506.83155	10651.81595
"281"	"YHR179W"	15131.19611	15283.99461	14718.40514	14509.19348	13895.23188	12579.75883
