"YORF"	"R0"	"R30"	"R60"	"R90"	"R120"	"R240"
"144"	"YEL032W"	93.18	80.62516317	74.33005472	84.80821708	99.9926906	100.7559268
"145"	"YEL042W"	135.58	51.29977595	106.4182491	127.737754	120.81085	146.684651
"146"	"YEL046C"	488.37	333.2439632	598.108874	736.2003492	654.0587411	747.1408274
"147"	"YEL054C"	1080.4	748.8478268	1153.131114	1058.478736	1212.438502	1037.938904
"148"	"YER002W"	150.67	76.79864761	87.72492707	87.64944203	77.80198861	67.56255192
"149"	"YER006W"	191.7	58.79568877	125.0002745	141.9846159	115.1055091	144.5712674
"150"	"YER007C-A"	129.32	75.1813592	118.3792498	80.9258912	81.61920236	96.12795042
"151"	"YER023W"	279.32	162.6366834	306.8143437	383.9122711	364.3722089	398.8475519
"152"	"YER036C"	362.37	214.1300664	285.7698609	336.7295406	350.1458561	353.36331
"153"	"YER042W"	104.52	47.74575946	59.48979076	34.5097037	40.99098012	44.56597582
"154"	"YER049W"	148.1	68.76653863	108.1945385	121.8733897	112.2722654	127.7088612
"155"	"YER073W"	137.7	49.13353373	129.1517295	143.2411254	126.4567201	107.3011176
"156"	"YER082C"	67.58	27.84321547	42.2687599	44.1024031	43.50906127	39.78712741
"157"	"YER086W"	315.98	105.8835481	311.5926619	369.0000233	324.3324018	370.1216686
"158"	"YER089C"	54.22	36.21523828	46.02356683	47.87435426	56.63365596	54.54204582
"159"	"YER091C"	491.57	109.0723226	687.298185	389.2435461	360.4838323	448.731425
"160"	"YER099C"	76.38	56.25637487	51.92542262	66.21234235	66.7502802	72.27469038
"161"	"YER102W"	868.92	527.1657313	853.236995	841.8211794	979.0343399	872.3249298
"162"	"YER110C"	186.32	53.99212001	96.19340549	124.7650899	111.8550798	148.4717567
"163"	"YER112W"	104.83	92.41782934	99.80837768	71.39017452	75.62786856	76.18949267
"164"	"YER114C"	38.3	29.43471585	30.72886542	35.37031243	31.83127569	33.07847777
"165"	"YER120W"	313.55	260.674128	300.0965631	301.1879068	350.9635357	344.4696095
"166"	"YER126C"	150.32	62.34033069	117.6619019	124.5158283	111.0986884	124.8165571
"167"	"YER127W"	89.15	52.42620666	62.14096195	70.4704178	63.37744053	65.88105193
"168"	"YER131W"	565.98	284.4345402	784.5094786	470.1741785	518.3408379	626.2103804
"169"	"YER151C"	86.73	87.01072662	79.37491513	76.07155915	68.0202948	63.56532905
"170"	"YER155C"	155.58	126.6342771	112.3852985	121.9923616	111.377762	128.3395644
"171"	"YER156C"	103.27	44.3673058	123.378671	110.8784534	93.9089407	110.9980779
"172"	"YER159C"	121.02	98.41756922	147.0604169	103.718875	109.0838612	73.24273807
"173"	"YER164W"	48.65	35.62571229	38.17494933	40.22973701	36.41892656	37.79248614
"174"	"YFL004W"	96.17	44.85736444	52.2154314	67.91404415	57.47476002	51.17102153
"175"	"YFL007W"	83.83	128.0213113	76.43444396	59.76946373	60.36656218	69.0044499
"176"	"YFL008W"	42.8	37.45324033	50.81202462	41.07118273	38.91721794	36.93701868
"177"	"YFL045C"	529.52	256.0614484	606.3100706	582.823776	510.2037453	584.5679556
"178"	"YFL047W"	63.22	73.09727565	66.78469533	64.51142741	65.44558209	75.20810049
"179"	"YFL048C"	84.3	109.3490627	105.48747	98.21300831	78.5196569	116.7519387
"180"	"YFR002W"	71	67.25672536	55.93456226	61.26482598	54.30871806	50.74717637
"181"	"YGL008C"	2474.6	1352.431563	2303.779144	3299.897334	3154.240228	3161.204933
"182"	"YGL009C"	112.67	84.45596808	83.44841074	81.27830689	76.86229998	107.2565913
"183"	"YGL011C"	187.45	325.9876385	167.4450886	146.9952974	126.0144672	138.7704868
"184"	"YGL014W"	94.12	53.70822596	79.57151289	87.07490707	69.58605518	78.24632927
"185"	"YGL019W"	107.37	102.975151	110.5673666	106.1299605	98.50944278	89.09441594
"186"	"YGL020C"	103.62	88.16255934	105.8989699	103.9318769	112.6385498	108.623828
"187"	"YGL022W"	268.95	196.4336282	278.0143502	302.8329871	288.372692	294.19165
"188"	"YGL027C"	82.58	60.95892012	88.43357138	85.50428642	79.00358686	79.68221388
"189"	"YGL030W"	3232.08	1863.28892	4911.141035	4441.147055	4557.806872	3995.313966
"190"	"YGL031C"	550.97	404.3150826	551.5824594	602.4888526	646.4083093	701.9163181
"191"	"YGL039W"	90.07	50.96922574	59.26551796	63.31163511	66.12121636	66.38162089
"192"	"YGL049C"	66.93	60.1447424	62.77187397	58.32866582	52.47273778	54.56584767
"193"	"YGL050W"	75.12	65.39557124	71.80009549	69.25624991	80.36843533	69.41408214
"194"	"YGL067W"	41.37	39.84108954	31.17467332	31.90546911	33.52674416	40.69015162
"195"	"YGL076C"	1722.98	998.0109028	1780.354651	1777.428812	1838.76103	1694.797772
"196"	"YGL078C"	214.63	57.45925471	134.4887965	127.3464273	129.5226781	136.4916013
"197"	"YGL092W"	88.08	53.43086061	68.56558238	68.00100326	65.02318584	80.65469676
"198"	"YGL099W"	82.65	40.39857433	53.99045291	62.15292469	54.51078422	63.12128182
"199"	"YGL101W"	103.58	62.89083825	106.6274497	96.87752766	98.94610881	86.46618065
"200"	"YGL111W"	71.1	33.44916586	44.10028498	45.55379265	41.11294311	52.79171301
"201"	"YGL115W"	118.03	114.2276178	118.1191736	133.7696709	154.5877553	133.7612466
"202"	"YGL120C"	172.87	72.41186011	119.8494207	130.1624537	117.3560678	131.195655
"203"	"YGL122C"	164.47	208.0950267	123.8172745	114.3747291	120.4861066	157.6989115
"204"	"YGL133W"	53.77	66.70243558	55.28881791	51.73716557	52.05953393	50.06260313
"205"	"YGL147C"	2312.02	1115.640138	2537.199137	2358.603751	2322.923512	2554.596158
"206"	"YGL148W"	273.77	104.1606387	334.0414914	321.6380036	377.3545783	301.3906685
"207"	"YGL150C"	71	56.82089281	55.13258976	54.75626092	61.96219196	58.33289153
"208"	"YGL164C"	49.1	52.06328762	45.13344923	38.69660264	42.14569278	36.54502792
"209"	"YGL169W"	52.75	31.62068725	31.12129324	34.66588366	38.86938294	35.18311788
"210"	"YGL173C"	156.85	142.9210402	124.4068963	111.2960358	107.7680676	114.360767
"211"	"YGL195W"	201.23	165.8702751	177.3685581	186.6632024	163.4939692	170.5936988
"212"	"YGL200C"	288.23	238.5101649	351.4830707	372.0029461	407.9168192	388.6050114
"213"	"YGL201C"	50.05	41.76496571	38.75935658	40.70496225	43.40457134	38.68526464
"214"	"YGL232W"	114.05	100.0421459	113.7435201	97.95677826	86.53960184	89.8951139
"215"	"YGL234W"	316.3	166.1247942	260.3053629	208.4012712	209.9724038	265.9117981
"216"	"YGR001C"	152.12	97.94068878	157.5121123	131.0620365	140.3828659	150.9806235
"217"	"YGR005C"	83.13	77.9573621	82.20523055	68.1973997	67.85668948	66.5177598
"218"	"YGR017W"	143.83	116.0430402	177.7015416	147.8248887	135.5697447	116.6241789
"219"	"YGR020C"	336.07	229.4233821	214.6886919	230.7471014	235.8186383	192.8197847
"220"	"YGR024C"	99.82	74.24455018	70.93739035	69.0891653	85.77990473	94.83296855
"221"	"YGR034W"	2404.15	1483.719511	2653.059075	2508.251368	2493.795743	2447.661355
"222"	"YGR061C"	280.33	98.30684513	157.0683602	154.2750402	159.2369412	200.7782427
"223"	"YGR082W"	211.25	154.3890188	223.2095165	213.5718249	285.6973225	221.1970983
"224"	"YGR090W"	98.32	67.16013481	64.97142424	80.72658617	71.70121392	70.88305571
