ENSGID	R1t0	R1t0.5	R1t1	R1t2	R1t8	R1t16	R1t24	R1t30	R3t0	R3t0.5	R3t1	R3t2	R3t8	R3t16	R3t24	R3t30
ENSG00000112308	13.03883534	13.0534217	13.06804152	13.09709187	12.89353343	13.10549736	13.11323043	13.1395559	12.86659306	12.96017728	13.0537615	13.24092994	13.08313784	13.03876915	12.9817124	12.93714424
ENSG00000256073	7.11577127	7.187410302	7.259967987	7.408805868	7.190635797	6.925770411	6.801342366	6.716707255	6.902548013	7.029015865	7.155237775	7.408298461	7.118960874	7.177573601	6.985806123	6.852402186
ENSG00000131446	5.608250514	5.572091731	5.53590845	5.463073424	6.024803515	6.025752861	5.688851402	5.562513355	5.592045663	5.637167179	5.682643191	5.772344745	5.859280805	5.624688938	5.607736444	5.609029931
ENSG00000117148	6.383589694	6.308671594	6.233769191	6.084701719	5.665359771	6.020814075	6.082537673	6.160801181	6.24721934	6.274251177	6.301275766	6.355243897	6.21338983	5.866282643	5.527312991	5.274956152
ENSG00000163069	9.143485195	9.052365636	8.96205833	8.782565576	8.894471726	8.70491441	8.836773216	8.899011353	9.078976244	9.054472884	9.029916518	8.983204934	8.529129607	8.774393577	8.848292724	8.88803951
ENSG00000130764	11.62998139	11.66406735	11.69895301	11.7744423	11.6771672	11.88782515	11.88225855	11.85337582	11.8346542	11.73364259	11.63230032	11.4298408	11.90346678	11.72586234	11.69000208	11.6766372
ENSG00000150625	6.302448323	6.307605504	6.312762073	6.32306841	6.320403451	5.952749334	5.585114908	5.309389089	5.756868273	5.672436402	5.586741829	5.408442333	5.289318741	5.488778493	5.702462157	5.862179605
ENSG00000152464	10.0201799	10.17488149	10.32950743	10.63978502	11.23323576	10.62742553	10.26320646	10.01423176	10.23847646	10.27904513	10.31944197	10.40027464	10.52796326	10.64938665	10.39793294	10.19687038
ENSG00000133112	15.0271714	15.09390315	15.16093041	15.29735023	15.54440289	15.64235596	15.69576024	15.73094224	15.03751253	15.05856975	15.07953042	15.12126974	15.72463751	15.72502628	15.70548603	15.69815844
ENSG00000145495	12.11693898	12.09923747	12.08153596	12.04613295	12.14417361	12.30881091	12.45088937	12.55526444	12.03716911	12.08987879	12.14249937	12.24778008	12.24789293	12.3148657	12.43710011	12.53385712
ENSG00000164713	13.76094588	13.73390525	13.70693984	13.6537494	13.59519191	13.8286266	13.90726632	13.96166281	13.81297286	13.80251555	13.79208885	13.77107309	14.01025378	14.01053565	13.90539232	13.86596357
ENSG00000174521	5.372567625	5.341577819	5.311019602	5.24909649	4.831473094	5.256989776	5.345938843	5.367019366	5.695504048	5.644042597	5.593140619	5.490803365	5.247375268	5.145988165	5.190535569	5.224195921
ENSG00000152495	6.531264943	6.552631538	6.573837443	6.61394151	6.44008458	6.159063936	6.237435764	6.331485951	6.45827059	6.451778527	6.444902335	6.430056837	5.94953345	6.389214393	6.552080327	6.643510997
ENSG00000027001	8.923131823	8.920144123	8.916938179	8.910732112	8.39450745	8.560315164	8.954292288	9.274508165	9.173820038	9.092480924	9.011251936	8.849184749	8.63086155	8.631149892	9.195358315	9.406936474
ENSG00000138430	10.62085066	10.51004005	10.40001801	10.17980234	10.32716855	10.63857775	10.65900027	10.69480476	10.20393026	10.20175534	10.19967606	10.19527572	10.82719162	10.62474929	10.52642089	10.45566091
ENSG00000143801	10.74312816	10.72273894	10.7030654	10.66642357	10.52350627	10.52256463	10.8971169	11.037574	10.74781362	10.79076322	10.83388687	10.92307688	10.46529773	10.70876135	10.93934166	11.12530109
ENSG00000154822	7.221227487	7.307104166	7.393174666	7.568958653	7.848113614	7.182382867	7.172624012	7.240450932	7.051030416	7.100896011	7.150051396	7.24792195	6.615875081	7.078342789	7.200518028	7.245677884
ENSG00000123600	9.08737537	9.096614584	9.106666701	9.130147158	9.253544935	9.330412973	9.431976646	9.514399534	9.120334027	9.181722821	9.243239339	9.367815035	9.356321288	9.430648146	9.456886244	9.482287752
ENSG00000092208	7.018736198	7.055719607	7.093994387	7.173570348	7.325506759	7.060710023	6.842495299	6.66264854	7.04587852	7.079356199	7.112634059	7.178709852	6.828133749	6.828041974	6.973588841	7.028168916
ENSG00000108556	6.115162566	6.077851776	6.040543989	5.965961649	5.788855137	6.055629369	6.127003516	6.208593344	6.242192299	6.32074351	6.400106308	6.559878657	6.667588068	6.095696802	5.978173957	5.938695887
