	P0	P10	P20	P30	P40	P60	P90	P120	R0	R10	R20	R30	R40	R60	R90
YLR059C	281		160	167			141	297	0.94	0.83	0.68	0.69	0.8	1.05	1.02
YPR016C	604	882	179		831	358	709	702	3.82	2.7	1.63	1.77	1.91	2.68	2.41
YOR323C	1352	981	700	716	1269	880	479	722	3.7	3.86	3.41	3.34	3.7	4.37	3.97
YOR128C	671	614	333	536	675	660	366	484	2.68	1.6	1.64	1.91	2.14	1.84	2.06
YHR018C	732	596	263	236	959	450	456	479	1.94	2.38	2.41	2.73	3.2	2.16	2.33
YAR073W	592	435	31	243	427	266	1490	295	1.62	1.21	0.81	0.61	0.83	1.86	1.51
YGL245W	1192	1112	592	1294	1419	1332	1066	2073	8.98	8.56	7.82	7.19	8.09	9.36	8.92
YIL015W	331	274	174	284	412	219	232	446	1.5	1.19	1.24	1.43	1.74	1.4	1.29
YGL202W	5740	5033	3660	4410	5940	4736	3567	3570	4.71	5.61	5.05	5.27	5.12	5.38	5.41
YLR027C	2211	1530	1239	1247	2537	1574	1595	1471	5.79	6.66	5.41	5.56	6.56	6.94	6.38
YBR263W	2006	1264	1009	1253	1763	1515	1415	1365	2.53	2.36	2.06	1.8	2	2.75	2.6
YML126C	3544	3006	2169	3644	2984	3150	2479	3805	7.31	7.36	5.54	5.62	6.73	7.52	9
YGR054W	466	430	197	375	614	438	304	304	1.73	1.07	1.06	1.56	1.53	1.57	1.49
YDR341C	635	591	119	360	824	516	387	497	4.79	3.25	1.87	1.44	1.78	3.08	3.68
YFL022C	1436	1427	550	390	1761	1060	877	1231	3.38	3.4	3.04	2.63	3.77	4.33	4.39
YER069W	151	121	47	79	63	102	80	72	0.74	0.49	0.59	0.65		0.64	0.93
YGL027C	131	152	35	60	200	183		65	1.26	1.11	1.25	1.2	1.39	1.27	1.26
YDR443C	12	29	8		27		22		0.91	0.77	0.82	0.78	0.98	0.69	0.78
YOL081W	30		12	22	42		30		1.74	1.66	1.73	1.72	1.6	1.7	1.13
YMR194W	15114	14882	19144	17331	16039	9285	16353	11642	17.39	18.77	11.32	8.88	8.52	10.41	9.72
YOL039W	8246	6236	5990	5973	10892	8157	4979	6002	36.82	48.24	32.72	20.57	17.66	23.63	28.29
YDL081C	21702	18834	16132	23526	15238	28117	9737	21510	27.31	37.05	20.7	13.37	12.57	15.26	19.99
YLR264W	22153	21008	19881	24253	25013	15752	15799	18400	21.78	27.95	19.36	13.31	12.16	13.04	16.5
YER131W	13763	12393	21198	18941	17383	16186	18930	19672	17.49	26.69	16.78	9.44	7.88	13.26	13.82
YBL087C	22374	20239	24553	23996	23327	21597	17473	17423	33.07	41.56	27.42	16.53	14.9	21.51	26.49
YOL040C	106340	116449	104858	120680	107205	103439	92820	86195	55.49	74.25	47.32	28.33	27.75	43.84	41.19
YDR382W	242	264	282	188	551	366	425	537	84.12	113.33	69.76	46.99	40.35	52.14	66.46
YGR118W	57331	55271	42021	50314	65891	58566	54025	52335	49.25	70.13	43.77	27.51	27.51	37.84	38.91
YLR287C-A	1810	1850	1504	1601	3530	1020	2685	2261	30.97	48.94	35.58	28.11	27.34	35.82	25.33
YDL075W	12461	13289	12273	10634	12815	7304	9661	8772	41.32	49.48	29.42	18.24	16.1	21.54	27.64
YBL092W	8195	6355	5766	5575	5776	3869	4228	2981	28.78	41.56	26.49	17	13.52	19.52	23.87
YLR061W	21223	21943	19217	20161	19748	16514	16396	16606	30.84	24.37	17.84	13.24	16.08	22.89	22.58
YOL127W	15486	15797	16504	16466	15946	13097	15767	12553	23.7	33.29	20.21	13.52	9.97	16.88	17.96
YLR325C	11706	9210	12350	8497	12365	5588	9067	5040	30.55	37.61	19.88	14.06	15.6	20.72	20.72
YOR234C	2217	2080	1794	1396	2105	857	1282	863	24.11	25.13	15.91	11.09	10.64	16.35	18.27
YJL136C	25457	34077	29627	18918	31926	29209	25430	16835	36.43	39.05	24.37	15.86	16.19	20.35	24.71
YKR057W	10447	11817	12768	18848	20399	11029	9544	18759	37.68	44.81	26.83	18.07	16.98	21.49	27.97
YPL143W	17523	13803	18640	13980	13162	9336	13404	10155	29.58	36.41	21.65	15.85	15.1	20.06	22.89
YDR064W	18036	18064	14447	15622	17480	10288	12213	9498	27.31	27.5	16.7	16.13	14.24		13.38
YKL056C	8610	9901	8744	8324	9947	8663	7855	6552	29.46	33.84	20.26	15.35	13.84	23.27	26.73
YGL103W	8361	8559	12336	9208	10652	6145	8554	6281	32.85	36.2	27.25	21.38	18.74	18.74	27.63
YNL301C	14751	13449	15158	13072	15606	9595	12802	6986	14.3	17.36	10.61	7.15	6.58	8.44	9.84
YIL133C	4591	3722	4630	4609	4778	3603	4237	3040	22.3	23.4	12.46	8.69	10.05	16.1	16.55
YBL002W	7631	7220	8356	8020	7758	6920	5758	6509	10.55	15.77	11.79	7.89	7.51	11.95	14.02
YCR031C	9613	5729	9543	9824	9921	11636	11228	9967	36.79	44.98	26.19	18.78	18.78	23.94	25.3
YHR010W	12739	11315	10745	10801	10077	6412	10007	8187	37.3	45.6	24.61	18.65	17.89	24.61	28.27
YGL030W	17261	19037	10888	11511	16144	8944	9933	8514	29.71	38.12	22.2	15.17	13.95	20.15	21.45
YOR276W	572	569	531	388	554	263	649	542	5.46	7.01	4.66	3.55	3.6	5.09	4.82
YGR034W	5416	5851	8976	5286	5595	2640	4135	3677	30.79	36.86	20.31	14.77	13.59	19.35	23.99
YGR027C	2517	1372	881	1517	3613	1866	2692	1641	51.64	83.9	53.1	34.55	28.85	38.33	41.95
YJR014W	703	336	502	631	851	437	813	589	3.42	3.22	2.63	2.4	2.8	3.19	2.92
YBR189W	12938	12124	11249	11534	12743	9104	9326	7122	13.47	15.37	9.14	6.33	6.33	8.07	9.59
YNL069C	7206	7053	7978	5936	7491	5274	6021	5375	20.84	25.65	16.46	11.01	11.01	15.47	17.28
YOR369C	5117	3053	3603	2765	3726	2899	1978	1473	53.8	80.98	45.24	27.47	20.39	29.64	35.5
YJL190C	19397	17288	14017	14469	16474	10947	9226	8461	36.45	47.77	29.2	16.43	14.6	21.83	27.25
YHR203C	25589	24557	17235	19561	24127	18577	15618	16186	41.58	52.27	27.06	16.66	17.85	27.44	31.51
YER074W	25447	24370	18750	15325	22016	12415	16067	9519	20.44	25.69	14.76	8.78	8.59	11.26	14.35
YGR085C	5662	4526	5406	5249	5693	3548	4190	2478	45.73	61.61	34.18	22.87	19.63	33.94	38.99
YLR340W	516	400	472	685	686	1338	515	1019	39.32	41.27	24.04	17.35	14.19	19.25	27.99
YBR048W	13931	15077	13237	14193	14767	8604	10563	9207	12.64	13.93	8.52	5.7	5.39	7.46	9.32
YNR050C	2029	1882	1169	1033	2765	1686	1341	1310	4.42	3.98	3.15	2.47	2.47	2.84	3.35
YOR021C	249	153	109	191	181	172	166	176	4.99	3.94	2.25	1.69	2.04	3.88	4.34
YML073C	1091	954	557	619	1017	440	426	446	29.82	38.53	22.13	14.01	14.3	20.51	21.53
YER056C-A	17943	15192	19622	12948	19976	9986	15362	8979	13.39	19.88	11.9	7.38	6.56	7.48	9.67
YDL083C	17318	19382	14074	14036	17640	14459	12141	9770	25.78	29.61	16.54	10.32	12.11	16.2	15.22
YKL216W	5535	5001	4795	4590	6559	4274	3845	4238	8.93	4.65	1.25	0.72	0.81	2.23	6.05
YNL067W	784	474	1121	415	652	435	741	289	13.82	19.41	15.88	7.89	7.72	14.82	14.51
YDR447C	31525	33636	39034	33501	31507	21346	24545	20033	33.98	30.62	19.38	12.27	11.52	18.72	22.42
YOR063W	17112	15261	17995	16376	18201	13054	17361	13609	37.51	41.33	24.4	14.61	15.77	28.03	28.43
YMR242C	11315	11172	11950	9981	11900	7004	10272	7772	30.05	36.74	17.99	11.39	12.04	19.83	22
YLR448W	7928	7743	6156	6282	9595	4416	6363	5401	21.93	21.93	12.25	8.78	8.97	13.4	17.32
YBL072C	28176	28333	27796	27428	32008	17937	23116	18282	41.1	54.98	28.86	18.52	18.14	25.12	30.5
