	P0	P10	P20	P30	P40	P60	P90	P120	R0	R10	R20	R30	R40	R60	R90
YML133C									1.77						1.29
YMR001C									1	0.8	0.8	0.71	0.73	0.39	0.79
YMR003W									1.02	1.18	1.1	0.94	0.85	0.97	1.22
YMR004W			24						0.78	1.1	1.25	1.37	1.31	1.12	1
YMR005W									1.08	1.01	0.96	0.92	1.09	0.97	1.1
YMR006C									1.16	0.85	0.66	0.69	0.76	0.66	1.38
YMR007W									0.44	0.56	0.46	0.5	0.53	0.36	0.54
YMR008C									2.12	2.27	2.4	2.38	2.87	3.39	3.44
YMR009W									0.78	1.86	2.18	2.02	1.81	1.74	1.31
YMR010W									1.49	1.5	1.55	1.55	1.66	1.59	1.43
YMR011W									10.45	16.98	10.67	9.23	6.8	4.91	5.96
YMR013C	108								0.68	0.55	0.52	0.63	0.83	0.98	0.89
YMR014W									1.16	0.46	0.28	0.28	0.44	0.61	0.77
YMR015C									2.23	2.02	1.34	1.61	1.92	1.4	2.23
YMR016C									0.49	0.41	0.32	0.28	0.37	0.41	0.43
YMR017W															
YMR018W									0.45	0.5	0.41	0.45	0.3	0.35	0.48
YMR021C									0.77	0.68	0.64	0.8	0.83	1.07	0.92
YMR022W									2.36	4.17	4.26	3.98	3.39	4.79	3.25
YMR023C						28			0.9	1.07	1.15	1.21	1.3	1.18	0.9
YMR024W									1.08	1.57	1.95	1.75	1.52	1.5	1.05
YMR025W									0.82	0.89	0.84	0.9	1.03	0.86	0.92
YMR026C									0.67	0.66	0.6	0.67	0.68	0.87	0.88
YMR027W									1.61	2.39	2.51	2.41	2.73	2.41	2.18
YMR028W									0.97	1.15	1.22	1.17	1.06	1.14	1.16
YMR029C									0.78	0.92	1.04	0.95	1.1	0.69	0.89
YMR030W									0.63	0.92	0.92	1.07	0.83	0.56	0.67
YMR031W-A															
YMR032W						33									
YMR033W									1.53	1.61	1.52	1.44	1.47	1.52	1.33
YMR034C									0.45	0.4	0.34	0.42	0.42	0.6	0.56
YMR035W									0.96	1.2	1.21	1.24	1.26	1.55	1.31
YMR036C									0.77	0.5	0.48	0.56	0.61	0.63	0.7
YMR037C									0.75	0.69	0.85	0.81	0.86	0.88	0.93
YMR039C									2.7	2.02	2.3	2.05	2.54	2.93	2.89
YMR040W									0.58	0.93	1.1	1.17	1.66	2.68	1.73
YMR041C									0.42	0.56	0.77	0.98	1.13	0.86	0.68
YMR043W									1.28	1.11	1.2	1	1.23	1.2	1.2
YMR045C									3.5	2.69	2.84	2.84	4.02	5.41	5.05
YMR046C															
YMR047C									1.26	1	1.11	1.09	1.17	1.06	1.1
YMR048W					46				0.54	0.49	0.49	0.47	0.5	0.4	0.57
YMR050C									5.07	4.21	4.51	4.67	6.64	7.79	7.69
YMR051C									3.16	2.59	2.59	2.79	3.78	5.06	5.39
YMR052C-A															
YMR052W									0.82	0.96	0.94	0.86	1	0.93	0.94
YMR053C									0.47	0.71	0.88	0.78	0.85	0.48	0.67
YMR054W									1.39	1.3	1.57	1.79	1.82	1.68	1.35
YMR055C									0.75	0.79	0.78	0.92	0.91	1.02	1.09
YMR056C									0.36	0.38	0.38	0.53	0.58	0.48	0.4
YMR057C															
YMR058W									2.6	1.67	0.83	0.49	0.62	0.86	1.63
YMR059W									0.99	0.93	0.88	0.8	0.87	1.07	1.1
YMR060C									0.85	1.21	1.24	1.21	0.98	0.94	0.78
YMR061W									1.09	0.79	0.81	0.73	0.74	0.77	0.98
YMR062C								201	0.93	1	0.81	0.76	0.87	1	1.06
YMR063W															
YMR064W									0.56	0.41	0.41	0.41	0.45	0.41	0.57
YMR065W									0.69	0.56	0.53	0.61	0.53	0.54	0.7
YMR066W						31			0.65	0.45	0.51	0.49	0.52	0.39	0.49
YMR067C									0.86	1.35	1.79	1.74	1.9	1.71	1.32
YMR068W			192		279										
YMR069W															
YMR070W									0.65	0.55	0.59	0.58	0.68	0.54	0.65
YMR071C									3.32	5.73	5.93	5.13	5.31	5.13	4.17
YMR075C-A															
YMR075W									0.65	0.53	0.6	0.59	0.63	0.52	0.66
YMR076C									1.24	0.68	0.68	0.53	0.84	0.65	0.96
YMR077C									1.5	1.46	1.65	1.59	1.54	1.32	1.71
YMR078C									0.59	0.42	0.42	0.45	0.54	0.46	0.69
YMR081C									0.74	1.33	2.21	1.79	1.46	2.92	0.78
YMR082C															
YMR084W									0.48	0.4	0.43	0.46	0.34	0.36	0.34
YMR085W									0.55	0.61	0.62	0.59	0.64	0.46	0.47
YMR086C-A									1.83	2.1	2.17	1.83	2.48	1.49	1.88
YMR087W									0.64	0.72	0.64	0.62	0.71	0.65	0.72
YMR088C									0.86	0.73	0.61	0.76	0.79	0.94	1
YMR091C				42					1.64	1.72	1.65	1.57	1.72	1.53	1.53
YMR093W									1.31	0.43	0.25	0.34	0.55	0.94	0.99
YMR094W															
YMR095C															
YMR096W									0.66	0.52	0.62	0.66	0.62	0.95	0.79
YMR097C									0.74	0.85	0.9	0.85	0.9	0.82	0.88
YMR098C									0.59	0.76	0.92	0.87	0.59	0.64	0.64
YMR101C															
YMR102C									1.6	1.96	2.01	1.79	1.44	1.63	1.36
YMR103C									2.1	4.03	4.56	3.39	3.46	2.64	2.06
YMR104C									0.71	1.12	1.53	1.52	0.81	1.16	0.89
YMR106C															
YMR107W															
YMR110C									1.06	2.31	3.01	3.27	3.16	2.04	1.58
YMR113W									0.78	0.78	0.78	0.78	0.95	1.04	1
YMR114C									0.43	0.53	0.64	0.68	0.6	0.56	0.53
YMR115W									2.14	2.9	3.54	2.76	2.88	2.09	2.44
YMR117C									1.01			0.82			
YMR118C															
YMR119W	13								0.54	0.7	0.78	0.7	0.76	0.51	0.61
YMR119W-A															
YMR121C									12.31	19.32	10.72	5.66	4.67	8.89	9.14
YMR122C															
YMR123W									3.73	4.13	2.94	2.62	2.78	4.52	4.31
YMR124W					9				1.3	1.29	1.2	1.24	1.41	1	1.16
YMR125W								14	1.35	1.12	1.2	1.17	1.31	1.12	1.22
YMR126C									1.01	0.81	0.66	0.65	0.81	1.08	0.89
YMR127C									0.71	0.49	0.42	0.48	0.47	0.71	0.79
YMR130W									1.1	1.17	1.07	1.03	1.15	1.51	1.22
YMR132C									0.8	0.5	0.4	0.41	0.45	0.58	0.73
YMR133W															
YMR135C									0.93	1.33	1.68	1.63	1.27	1.32	1.34
YMR135W-A															
YMR136W									0.64	0.53	0.61	0.66	0.69	0.36	0.71
YMR138W									0.64	0.55	0.48	0.49	0.51	0.66	0.71
YMR139W									0.82	1.86	2.29	1.92	1.45	1.4	1.01
YMR140W									0.73	0.74	0.96	0.88	0.94		0.76
YMR141C									1.03	1.39	1.62	1.3	1.04	1.14	0.96
YMR143W									26.18	30.28	18.38	11.55	11.24	16.8	16.45
YMR144W									0.64	0.68	0.52	0.76	0.48	0.34	0.53
YMR145C			6						4.44	5.59	4.18	3.25	2.97	3.3	3.32
YMR146C									4.9	5.18	3.54	3.14	3.98	5.32	4.86
YMR147W															
YMR148W									1.04	1.69	1.59	1.76	2	1.37	1.18
YMR149W									4.74	4.98	5.6	5.68	6.17	6.08	6.21
YMR150C									1.57	2.37	1.95	2.15	2.26	2.21	2.08
YMR151W															
YMR152W									0.85	1.69	2.34	2.26	2.44	1.37	1.11
YMR153C-A															
YMR153W									1	0.69	0.72	0.69	0.84	1	1.38
YMR154C									0.33	0.24	0.26	0.24	0.28	0.3	0.3
YMR155W									0.36	0.39	0.44	0.48	0.47	0.36	0.45
YMR156C									0.49	0.62	0.61	0.65	0.69	0.61	0.53
YMR157C							48		0.81	1.22	1.32	1.26	1.09	0.92	0.72
YMR158C-A		93													
YMR158W									1.38	2.54	2.44	1.87	2.11	1.49	1.24
YMR158W-A															
YMR159C															
YMR160W									0.66	0.83	1.02	0.99	0.95	0.66	0.68
YMR161W									1.02	1.31	1.16	1	1.2	1.14	1.29
YMR162C					7				1.12	1	0.88	1.06	0.82	0.89	0.76
YMR163C									0.57	0.58	0.63	0.57	0.61	0.48	0.68
YMR164C									0.82	0.68	0.71	0.62	0.82	0.7	0.78
YMR165C									1.33	1.29	1.46	1.43	1.4	1.35	1.12
YMR166C									0.77	1.11	1.02	1.27	1.25	0.77	0.77
YMR168C									0.51	0.43	0.48	0.46	0.52	0.46	0.54
YMR169C						32			1.2	1.64	2.65	3.31	3.62	2.23	2.14
YMR171C									1.2	1.19	1.21	0.96	1.03	1.06	1.06
YMR172C-A															
YMR172W								20	0.49	0.26	0.35	0.37	0.41	0.42	0.47
YMR173W							35		1.51	7.31	8.81	8.05	9.45	11.23	8.22
YMR173W-A															
YMR174C									1.06	1.85	2.32	2.63	2.26	2.05	1.35
YMR175W				70											
YMR176W			5						1.08	0.74	0.93	0.7	0.86	0.78	0.84
YMR177W									1.02	0.94	0.76	0.68	0.8	0.96	1.1
YMR178W					74				1.03	1.49	1.44	1.34	1.29	1.45	1.19
YMR179W									0.69	0.44	0.48	0.48	0.56	0.33	0.51
YMR180C									0.53	0.54	0.59	0.64	0.68	0.6	
YMR181C								270	0.86	1.26	2.13	1.83	1.8	1.88	1.29
YMR182C															
YMR183C									2.88	3.11	3.13	2.71	3	2.6	3.5
YMR184W								187	1.44	2.74	3.31	3.83	5.19	6.09	4.95
YMR187C									0.64	0.56	0.67	0.71	0.78	0.88	0.93
YMR188C									2.05	2.6	3.05	2.97	2.92	1.79	2.16
YMR190C															
YMR191W		47							1.23	1.23	2.23	2.73	3.14	3.2	2.69
YMR192W									0.71	0.47	0.53	0.61	0.66	0.64	0.69
YMR193C-A															
YMR193W									0.99	1.51	1.84	1.51	1.55	0.97	0.99
YMR195W									1.71	4.05	6.39	6.13	5.27	3.26	2.08
YMR197C			16						1.87	3.64	5.49	5.68	5.15	2.94	2.24
YMR198W								40	0.63	0.52	0.6	0.56	0.49	0.3	0.5
YMR199W									1.11	0.91	1.12	1.08	1.48	1	1.48
YMR201C									1.2	1.26	1.38	1.36	1.38	1.38	1.28
YMR202W									18.6	23.87	16.53	16.53	18.73	18.09	18.99
YMR203W									1.83	2.57	2.6	2.83	2.3	2.01	1.54
YMR204C									0.37	0.39	0.4	0.39	0.46	0.23	0.4
YMR206W															
YMR207C		3	2	12	25										
YMR208W									1.14	0.91	0.89	0.8	1.15	1.2	1.13
YMR209C									0.89	0.76	0.6	0.58	0.56	0.59	0.8
YMR210W									0.53	0.68	0.65	0.56	0.57	0.42	0.43
YMR212C									1.02	0.61	0.69	0.58	0.72	0.72	0.87
YMR213W									0.37	0.23	0.24	0.26	0.29	0.24	0.32
YMR214W									1	1.15	1.3	1.05	1.92	2.4	2.41
YMR215W									2.64	2.66	1.97	1.69	1.5	1.56	2.87
YMR216C									0.77	0.45	0.48	0.46	0.6	0.68	0.69
YMR218C				18					0.88	0.64	0.66	0.66	0.79	0.68	0.97
YMR219W					32				1.06	0.93	0.91	0.94	0.76	0.87	0.78
YMR220W									1.35	1.26	1.2	1.09	1.32	1.48	1.56
YMR221C									1.23	0.93	0.7	0.77	0.9	1.05	1.18
YMR222C									0.9	1.02	0.96	0.9	1.13	1.19	0.85
YMR223W									0.66	0.46	0.43	0.43	0.5	0.5	0.5
YMR224C									0.69	0.47	0.53	0.54	0.65	0.57	0.67
YMR225C									1.78	2.66	2.89	3.16	2.54	2.62	1.79
YMR227C									0.59	0.3	0.28	0.32	0.41	0.41	0.56
YMR228W									0.78	0.85	0.89	0.92	0.73	1	0.97
YMR230W									7.94	9.32	5.31	3.81	3.34	4.59	4.92
YMR232W									0.64	0.47	0.48	0.48	0.48	0.49	0.57
YMR233W									1.01	0.89	0.82	0.81	0.61	0.89	0.75
YMR234W							55		0.68	0.61	0.51	0.55	0.58	0.64	0.72
YMR235C									3.56	3.64	2.96	2.74	2.91	3.47	3.4
YMR236W									1.81	2.36	2.08	2.12	2.32	2.28	2.14
YMR237W							33		0.99	1.1	1.29	1.28	1.3	1.15	0.97
YMR238W									2.58		2.85	3.27	3.94	6.41	4.2
YMR239C								48	1.7	0.39	0.31	0.43	0.48	0.78	1.05
YMR240C									1.31	0.96	0.92	0.94	1.12	1.05	1.33
YMR241W									3.51	3.34	1.79	1.47	1.79	2.38	3.1
YMR243C									5.06	3.76	2.53	2.83	3.1	3.43	4
YMR244C-A															
YMR244W															
YMR245W									0.56	0.83	0.86	0.87	0.83	0.77	0.76
YMR246W									3.45	1.48	0.76	0.83	1.11	3.06	3.75
YMR251W									12.35	37.97	50.8	62.98	62.55	41.26	20.63
YMR251W-A															
YMR252C									1.24	2.23	2.51	2.49	2.58	2.44	2.26
YMR253C									0.78	1.01	1.36	1.4	1.4	1.26	1.08
YMR254C															
YMR255W									1.71	2.03	1.96	1.6	1.88	1.88	1.78
YMR256C									3.18	6.13	4.95	3.94	3.31	3.26	2.98
YMR257C															
YMR260C									7.59	7.91	5.33	3.42	3.26	3.96	5.15
YMR261C									2.24	2.53	2.68	2.85	2.38	1.89	1.78
YMR262W									0.58	0.93	0.95	0.71	0.77	0.58	0.53
YMR263W									0.92	0.94	0.9	0.84	0.88	1.12	1.13
YMR264W									2.16	2.7	2.41	2.59	3.12	2.89	2.85
YMR265C									0.52	0.52	0.44	0.4	0.41	0.66	0.62
YMR266W							92		1.4	0.88	0.93	0.8	0.97	1.22	0.93
YMR267W									1.01	1.5	1.65	1.58	1.56	1.2	1.13
YMR268C									0.62	0.45	0.43	0.43	0.45	0.42	0.4
YMR269W									2	0.58	0.48	0.6	0.64	1.08	1.54
YMR270C									1.26	1.02	0.94	0.77	0.95	0.86	1.32
YMR271C									0.8	0.93	1.15	1.36	1.78	1.66	1.12
YMR272C									2.53	3.38	2.9	3.31	3.65	4.46	3.43
YMR274C									1.15	1.02	0.87	0.96	0.82	0.98	1.2
YMR275C	19								0.58	0.47	0.63	0.83	0.88	0.84	0.72
YMR277W								11	0.79	0.5	0.51	0.45	0.51	0.53	0.7
YMR278W									0.89	0.94	1.21	1.19	1.12	1	1.09
YMR279C															
YMR280C															
YMR281W									0.61	0.95	0.93	0.73	0.67	0.61	0.55
YMR282C				14					0.95	0.93	1.05	0.99	1.03	0.73	0.94
YMR283C									0.77	0.67	0.65	0.65	0.63	0.63	0.77
YMR284W			45						1.36	1.92	2.38	1.92	1.83	1.08	1.33
YMR285C								18	1.04	0.94	0.83	0.85	0.89	0.92	1.03
YMR286W									2.48	4	3.81	3.27	2.83	3.03	2.1
YMR287C									1.07	1.07	1.19	1.12	1.22	1.14	1.22
YMR288W									0.66	0.39	0.39	0.47	0.54	0.56	0.62
YMR289W								110	1.37	1.28	1.3	1.21	1.31	1.33	1.53
YMR290W-A															
YMR291W									1.01	1.54	2.62	2.79	2.23	2.01	1.56
YMR292W									2.95	3.25	2.48	2.23	2.36	2.67	3.01
YMR293C															
YMR294W															
YMR294W-A									1.52	2.06	1.8	1.55	1.78	2.63	2.32
YMR296C									2.37	2.06	2.06	2.49	2.49	3	2.39
YMR297W									5.25	9.27	12.94	19.07	20.72	19.74	12.41
YMR298W									2.45	4.36	4.45	3.56	4.04	4.57	3.54
YMR299C								45	1.4	1.64	1.58	1.7	1.77	1.71	1.56
YMR300C	739	395	174	372	498	243	359	319							
YMR301C								45	0.87	0.59	0.46	0.47	0.61	0.79	0.98
YMR304C-A															
YMR304W							15								
YMR306C-A															
YMR306W			38	18			30								
YMR307W									18.53	15.37	11.1	11.89	13.75	21.14	21.73
YMR308C															
YMR309C							33		2.7	1.41	1.02	1.08	1.41	2.13	1.76
YMR310C									1.34	0.6	0.43	0.43	0.59	1.04	1.2
YMR311C									1.49	2.55	3.2	2.95	3.11	2.58	2.1
YMR312W									1.52	1.22	0.81	0.82	1.01	1.38	1.83
YMR316C-A															
YMR316C-B															
YMR316W									2.63	3.86	3.86	4.78	2.51	18.21	8.74
YMR317W															
YMR319C									1.41	1.31	1.19	1.24	1.39	0.82	1.07
YMR320W									0.69	0.51	0.49	0.49	0.41	0.72	0.51
YMR321C									5.22	5.52	2.98	2.09	2.56	3.77	4.54
YMR322C															
YMR323W	181	606	866	588	438	236	605	460							
YMR324C															
YMR325W															
YMR326C															
YNL001W									1.47	1.28	0.92	0.91	1.09	1.4	1.2
YNL002C									2.38	0.76	0.4	0.43	0.71	1.76	1.78
YNL003C									1.41	2.08	2.23	2.39	2.05	2.34	2.17
YNL005C									1.37	2.38	2.62	2.39	1.93	1.47	1.41
YNL006W									1.57	3.64	3	2.47	2.44	2.63	2.35
YNL008C									1.05	0.9	0.93	0.95	1.05	0.98	1.04
YNL009W				29					0.81	0.93	0.93	1.11	0.77	0.81	0.83
YNL010W									5.06	6.14	4.14	3.78	3.89	6.27	6.77
YNL011C									0.91	1.55	1.68	1.58	1.18	1.14	1.14
YNL012W									0.4	0.43	0.5	0.56	0.52	0.54	0.52
YNL013C									1.06	0.74	0.41	0.29	0.33	0.85	0.86
YNL014W									1.18	0.89	0.55	0.46	0.51	0.96	0.8
YNL015W									2.67	8.38	12.53	20.92	11.29	17.96	9.11
YNL016W									6.13	5.09	4.98	3.99	5.45	5.38	4.78
YNL017C															
YNL018C															
YNL019C															
YNL020C									0.64	0.68	0.61	0.62	0.76	0.66	0.75
YNL021W	41								0.72	0.57	0.65	0.62	0.71	0.53	0.68
YNL022C															
YNL024C			196						1.13	0.77	0.55	0.58	0.63	2.36	0.68
YNL025C									0.51	0.65	0.72	0.67	0.61	0.61	0.53
YNL026W									1.05	1.49	1.55	1.65	1.84	1.67	1.22
YNL027W									1.13	1.18	1.28	1.19	1.28	1.05	1.28
YNL028W															
YNL029C							11		0.84	0.99	0.97	0.94	0.85	0.74	0.93
YNL030W									16.81	30.93	21.13	13.46	10.42	16.69	20.69
YNL031C									22.15	33.57	24.57	15.99	14.82	23.25	28.42
YNL033W									0.36	0.37	0.37	0.45	0.43	0.44	0.47
YNL034W		17													
YNL035C									0.73	0.62	0.56	0.45	0.6	0.7	0.86
YNL038W									1.44	1.52	1.23	1.14	1.06	1.23	1.16
YNL039W			96		257										
YNL040W							72		1.1	1.2	1.21	1.26	1.42	1.71	1.49
YNL041C			38						0.85	0.77	0.88	0.75	0.83	0.68	0.81
YNL042W									0.96	0.84	0.83	0.82	0.89	0.98	0.71
YNL043C									1.14	1.62	1.38	1.38	1.37	1.26	1.69
YNL044W									3.46	4.57	3.98	3.95	4.01	4.26	5
YNL046W									2.67	2.36	2.28	2.36	2.51	3.05	1.98
YNL047C									0.77	0.51	0.61	0.65	0.68	0.77	0.78
YNL048W									1.14	0.98	0.93	0.96	1.14	1.17	1.14
YNL049C	23								0.72	0.44	0.49	0.53	0.66	0.97	1.18
YNL050C									1.51	0.87	0.89	0.84	1.04	0.92	0.93
YNL051W									0.97	1.25	1.29	1.08	1.11	0.96	0.95
YNL052W									2.44	4.48	2.61	1.9	1.82	2.2	2.02
YNL053W									1.16	1.03	1.05	1.16	1.32	1.39	1.38
YNL056W									2.01	3.08	2.43	2.82	2.61	2.12	1.96
YNL057W									0.73	0.79	1.03	1	1.08	0.67	0.68
YNL058C									1.43	1.77	2.13	2.13	2.77	1.49	1.13
YNL062C									1.68	0.7	0.45	0.62	0.96	1.68	1.87
YNL063W									0.72	0.7	0.72	0.7	0.75	0.95	1.02
YNL065W									2.81	0.9	0.56	0.9	1.01	2.06	2.22
YNL066W									4.24	2.88	2.08	2.98	3.44	4.27	4.15
YNL068C					43				0.55	0.29	0.3	0.29	0.38	0.25	0.45
YNL070W									3.5	5.34	5.89	5.42	5.49	4.81	3.6
YNL072W				25					0.84	0.68	0.61	0.57	0.74	0.86	0.93
YNL073W									0.69	1.18	1.88	1.47	1.42	1.06	0.71
YNL075W									2.43	1.07	0.61	0.9	0.99	1.78	2.16
YNL076W					23				0.69	0.56	0.69	0.65	0.77	0.61	0.68
YNL077W									0.92	1.84	1.4	1.16	1.16	1.16	1.22
YNL078W									1.03	0.93	1.05	1.1	1.41	1.19	0.93
YNL080C				34					1.09	0.9	0.88	0.93	1.06	0.79	0.87
YNL081C									1.33	2.72	3.23	2.97	1.71	1.96	1.48
YNL082W				14					0.59	0.42	0.41	1.81	0.46	0.36	0.48
YNL083W									0.56	0.52	0.6	0.57	0.46	0.6	0.56
YNL086W									0.88	0.94	0.84	0.96	0.84	1.08	0.71
YNL088W									2.43	1.7	1.68	1.41	1.36	1.75	1.66
YNL089C															
YNL091W									0.9	0.72	0.77	0.68	0.86	0.51	0.73
YNL092W															
YNL093W			19						0.34	0.35	0.49	0.47	0.29	0.41	0.28
YNL094W									1.14	1.24		1.76	2.22	2.61	2.02
YNL095C									0.43	0.25	0.23	0.3	0.29	0.48	0.43
YNL097C									0.82	1.14	1.19	1.33	1.07	0.81	0.7
YNL099C									1.4	1.67	1.53	1.34	1.4	1.22	1.44
YNL100W									1.49	3.11	3.38	2.94	2.63	2.23	1.71
YNL101W									1	0.7	0.82	0.85	0.92	1.05	0.98
YNL103W-A				985											
YNL105W															
YNL107W									1.14	1.15	1.16	1.13	1.03	1.36	1.37
YNL108C									1.09	1.14	0.91	0.9	1.09	1.61	1.15
YNL109W															
YNL110C									3.55	0.89	0.6	0.67	0.96	2.03	2.44
YNL111C									1.88	1.23	1.11	1.45	2.21	3.64	3.1
YNL114C									1.76	0.83	0.51	0.64	0.9	1.68	1.77
YNL115C									0.59	0.95	1.39	1.6	1.46	0.98	0.9
YNL116W									0.4	0.25	0.23	0.28	0.4	0.4	0.48
YNL117W															
YNL118C							143		1.01	0.81	0.98	0.82	1.08	0.7	0.94
YNL119W									3.62	4.18	2.14	1.52	1.52	2.14	2.7
YNL120C															
YNL121C									1.6	1.85	2.39	1.95	2.08	1.58	1.44
YNL122C									1.28	2.38	2.35	2.22	2.27	1.42	1.38
YNL124W									1.53	0.51	0.44	0.47	0.63	1.6	1.35
YNL125C									0.77	1.32	1.91	2.21	1.79	0.72	1.01
YNL126W									0.56	0.33	0.32	0.28	0.33	0.32	0.57
YNL128W															
YNL129W									1.09	1.09	1.1	0.98	1.09	0.92	1.24
YNL130C									1.71	2.34	2.5	2.76	3.02	2.35	2.09
YNL132W								11	1.43	0.33	0.22	0.17	0.3	0.97	1.16
YNL133C									0.78	0.81	0.77	0.78	0.85	0.88	1
YNL137C									1.35	2	2.29	2.09	1.91	1.47	1.36
YNL138W									3.7	3.85	4.39	5.05	5.8	4.94	4.36
YNL139C				28											
YNL140C									0.82	0.55	0.57	0.51	0.5	0.6	0.78
YNL142W									0.48	0.34	0.34	0.49	0.6	0.63	0.69
YNL143C									1.86	1.65	1.68	1.95	1.93	1.78	1.89
YNL145W															
YNL146W									0.8	0.93	0.84		1.04	0.97	0.83
YNL147W									2.9	4.88	4.37	3.99	3.99	4.68	3.85
YNL148C									0.58	0.56	0.44	0.48	0.49	0.81	0.72
YNL149C									3.57	5.73	6.27	5.85	6.14	6.86	5.85
YNL150W									1.37	2.25	2.22	2.14	2.14	2.87	2.2
YNL151C					15				2.94	1.89	1.3	1.26	1.47	2.02	2.8
YNL152W									1.09	1.31	1.15	1.11	1.24	1.09	1.12
YNL153C				162					3.57	4.18	4.12	3.49	3.4	3.74	3.42
YNL154C									2.06	2.59	2.33	1.86	2.02	1.53	1.73
YNL155W									1.34	2.94	4.91	4.22	3.99	3.15	2.18
YNL157W									3.54	5.84	6.34	5.12	5.3	5.52	4.94
YNL158W									1.23	1.26	1.26	1.09	1.4	1.14	1.3
YNL159C									0.89	1.51	1.76	1.53	1.59	1.16	1.09
YNL161W									0.79	0.74	0.75	0.75	0.87	0.8	0.95
YNL162W									22.07	27.36	15.93	11.27	11.5	15.5	17.2
YNL164C							74		0.76	0.49	0.41	0.45	0.59	0.68	0.76
YNL165W									1.11	1.01	1.01	1.05	1.11	1.35	1.38
YNL166C									0.93	0.75	0.64	0.55	0.78	0.76	1.13
YNL167C			48						0.63	0.62	0.6	0.57	0.66	0.49	0.54
YNL168C									1.73	2.26	2.43	2.46	2.94	3.22	2.53
YNL169C						12			1.45	1.91	2.15	2.04	1.93	1.18	1.35
YNL170W									0.71	0.75	0.77	0.73	0.78	0.55	0.6
YNL171C									0.47	0.5	0.55	0.51	0.5	0.43	0.45
YNL173C									0.65	1.81	2.05	1.88	1.63	1.07	1
YNL174W															
YNL175C	34														
YNL176C					58										
YNL177C									1.95	3.77	4.04	3.44	2.72	1.9	1.91
YNL178W	12111	12244	12562	11139	11262	8667	8723	7841							
YNL179C															
YNL180C									1.65	1.65	1.42	1.23	1.54	1.1	1.55
YNL181W															
YNL182C															
YNL183C	222	7													
YNL184C															
YNL185C									1.14	1.92	2.24	2.1	2.16	1.44	0.95
YNL187W									0.62	0.54	0.62	0.7	0.6	0.88	0.68
YNL188W									1.17	0.66	0.64	0.57	0.76	0.56	0.88
YNL189W									2.62	2.61	2.24	2.04	2.68	2.7	2.55
YNL190W									8.4	7.21	5.98	6.54	8.05	12.12	9.06
YNL191W									0.93	0.97	0.82	0.82	0.85	0.97	0.84
YNL192W		22							2.64	1.82	2.12	2.33	3.34	8.94	3.51
YNL193W					100				0.74	0.97	0.99	0.85	0.68	0.84	0.73
YNL194C									1.23	2.95	9.53	10.29	5.33	1.49	1.25
YNL195C															
YNL196C															
YNL198C									0.96	0.47	0.63	0.67	0.6	0.52	0.58
YNL199C									1.04	0.75	0.78	0.73	0.78	0.69	0.96
YNL200C									0.81	2.31	2.98	4.19	4.1	2.32	1.42
YNL202W									0.8	1.01	1.46	2.28	3.16	3.2	1.62
YNL203C									0.61	0.57	0.99	1.48	1.35	1.74	1.11
YNL204C									0.49	0.34	0.32	0.38	0.47	0.6	0.49
YNL205C															
YNL206C									1.39	1.19	1.02	0.79	1.11	1.02	1.11
YNL207W									1.24	0.81	0.86	0.66	0.88	0.83	0.93
YNL209W	21896	22236	23520	29322	33429	1102	29114	31651							
YNL210W									0.46	0.22	0.25	0.23	0.24		0.3
YNL211C									1.25	1.26	1.32	1.26	1.15	1.52	1.28
YNL213C									0.83	1.37	1.35	1.32	1.06	0.92	0.8
YNL214W									0.88	1.42	1.26	0.96	1.17	0.82	0.88
YNL215W									0.72	0.77	0.82	0.78	0.86	0.66	0.69
YNL216W															
YNL217W									2.29	1.81	1.01	0.85	0.87	2.13	1.78
YNL218W									0.66	0.5	0.58	0.52	0.77	0.66	0.77
YNL219C									2.21	1.9	1.75	1.72	1.95	1.96	1.95
YNL221C									1.62	0.91	0.78	0.68	0.83	0.84	1.21
YNL222W									0.98	1.02	1.02	1.45	0.98	0.89	0.8
YNL223W									0.48	0.7	0.77	0.97	0.83	0.71	0.51
YNL224C								30							
YNL225C									0.97	0.83	1.02	0.94	0.88	0.53	0.99
YNL226W															
YNL227C									0.9	0.29	0.43	0.31	0.39	0.42	0.71
YNL228W															
YNL229C									1.77	1.69	1.69	1.36	1.72	1.52	1.57
YNL230C									0.6	0.6	0.65	0.65	0.77	0.81	0.88
YNL231C									2.47	5.04	4.6	3.51	3.3	1.95	2.83
YNL232W		25							2.2	1.87	1.59	1.56	1.75	1.91	1.59
YNL233W									0.96	0.69	0.64	0.65	0.75	0.59	0.87
YNL235C															
YNL236W						44			0.98	0.82	0.94	0.86	0.9	0.85	0.82
YNL237W									0.42	0.57	0.68	0.65	0.62	0.62	0.52
YNL238W									0.94	0.64	0.63	0.63	0.72	0.74	0.77
YNL240C									1.3	1.06	0.91	1.11	1.13	1.53	1.77
YNL245C							44		0.74	0.84	0.9	0.82	1	1.11	1.05
YNL246W									1.49	1.87	1.61	1.56	1.93	2.15	1.78
YNL248C									3.47	1.39	0.66	0.8	1.22	2.98	2.83
YNL249C									0.66	0.67	0.9	0.89	1.06	1.19	1.08
YNL251C									1.05	0.79	0.71	0.76	0.72	0.58	0.79
YNL252C									1.06	1.73	1.92	1.77	1.87	1.27	1.15
YNL253W									0.66	0.65	0.8	0.75	0.88	1.09	0.86
YNL254C									0.58	0.31	0.29	0.35	0.42	0.64	0.6
